ID,DEWP,Ir,Is,Iws,PRES,TEMP,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,date,hour,Label
88,-24,0,0,3.58,1031.0,-11.0,0,1,0,0,2010-01-05,16,50.0
89,-23,0,0,5.37,1031.0,-11.0,0,1,0,0,2010-01-05,17,56.0
90,-23,0,0,7.16,1032.0,-11.0,0,1,0,0,2010-01-05,18,59.0
91,-22,0,0,10.29,1033.0,-13.0,0,1,0,0,2010-01-05,19,60.0
92,-22,0,0,13.42,1033.0,-12.0,0,1,0,0,2010-01-05,20,84.0
93,-24,0,0,16.55,1033.0,-18.0,0,1,0,0,2010-01-05,21,106.0
94,-22,0,0,20.57,1034.0,-13.0,0,1,0,0,2010-01-05,22,66.0
95,-22,0,0,23.7,1033.0,-16.0,0,1,0,0,2010-01-05,23,50.0
96,-25,0,0,26.83,1033.0,-17.0,0,1,0,0,2010-01-06,0,56.0
97,-25,0,0,4.02,1033.0,-14.0,1,0,0,0,2010-01-06,1,77.0
98,-26,0,0,8.04,1034.0,-14.0,1,0,0,0,2010-01-06,2,50.0
99,-26,0,0,13.85,1033.0,-14.0,1,0,0,0,2010-01-06,3,44.0
100,-26,0,0,17.87,1033.0,-14.0,1,0,0,0,2010-01-06,4,27.0
101,-26,0,0,23.68,1033.0,-14.0,1,0,0,0,2010-01-06,5,28.0
102,-26,0,0,28.6,1033.0,-14.0,1,0,0,0,2010-01-06,6,21.0
103,-26,0,0,33.52,1034.0,-15.0,1,0,0,0,2010-01-06,7,25.0
104,-26,0,0,39.33,1034.0,-14.0,1,0,0,0,2010-01-06,8,20.0
105,-25,0,0,44.25,1035.0,-13.0,1,0,0,0,2010-01-06,9,29.0
106,-25,0,0,50.06,1035.0,-12.0,1,0,0,0,2010-01-06,10,34.0
107,-24,0,0,54.98,1035.0,-11.0,1,0,0,0,2010-01-06,11,42.0
108,-24,0,0,59.0,1034.0,-10.0,1,0,0,0,2010-01-06,12,28.0
109,-22,0,0,4.02,1033.0,-10.0,0,1,0,0,2010-01-06,13,36.0
110,-22,0,0,5.81,1033.0,-9.0,0,1,0,0,2010-01-06,14,48.0
111,-22,0,0,0.89,1033.0,-8.0,0,0,0,1,2010-01-06,15,49.0
112,-22,0,0,1.79,1033.0,-8.0,0,1,0,0,2010-01-06,16,52.0
113,-21,0,0,3.58,1033.0,-9.0,0,1,0,0,2010-01-06,17,56.0
114,-22,0,0,5.37,1033.0,-9.0,0,1,0,0,2010-01-06,18,96.0
115,-22,0,0,0.89,1034.0,-14.0,0,0,0,1,2010-01-06,19,75.0
116,-22,0,0,1.79,1035.0,-12.0,0,1,0,0,2010-01-06,20,105.0
117,-21,0,0,3.58,1034.0,-14.0,0,1,0,0,2010-01-06,21,132.0
118,-22,0,0,5.37,1035.0,-16.0,0,1,0,0,2010-01-06,22,93.0
119,-21,0,0,7.16,1035.0,-16.0,0,1,0,0,2010-01-06,23,131.0
120,-21,0,0,1.79,1031.0,-17.0,0,1,0,0,2010-01-08,0,210.0
121,-19,0,0,3.58,1031.0,-16.0,0,1,0,0,2010-01-08,1,195.0
122,-20,0,0,0.89,1031.0,-16.0,1,0,0,0,2010-01-08,2,275.0
123,-19,0,0,0.89,1030.0,-15.0,0,0,1,0,2010-01-08,3,164.0
124,-18,0,0,0.45,1030.0,-15.0,0,0,0,1,2010-01-08,4,110.0
125,-18,0,0,1.34,1029.0,-15.0,0,0,0,1,2010-01-08,5,100.0
126,-18,0,0,1.79,1029.0,-15.0,0,1,0,0,2010-01-08,6,81.0
127,-16,0,0,0.89,1029.0,-13.0,1,0,0,0,2010-01-08,7,71.0
128,-16,0,0,0.89,1029.0,-12.0,0,0,1,0,2010-01-08,8,66.0
129,-16,0,0,1.78,1030.0,-12.0,0,0,1,0,2010-01-08,9,92.0
130,-17,0,0,0.89,1030.0,-10.0,1,0,0,0,2010-01-08,10,135.0
131,-16,0,0,0.89,1029.0,-10.0,0,0,0,1,2010-01-08,11,155.0
132,-16,0,0,3.13,1028.0,-9.0,0,0,1,0,2010-01-08,12,198.0
133,-15,0,0,4.92,1026.0,-8.0,0,0,1,0,2010-01-08,13,250.0
134,-16,0,0,0.89,1026.0,-8.0,0,0,0,1,2010-01-08,14,200.0
135,-16,0,0,1.78,1025.0,-8.0,0,0,0,1,2010-01-08,15,231.0
136,-16,0,0,2.67,1025.0,-8.0,0,0,0,1,2010-01-08,16,250.0
137,-17,0,0,0.89,1025.0,-8.0,0,0,1,0,2010-01-08,17,212.0
138,-17,0,0,0.45,1026.0,-9.0,0,0,0,1,2010-01-08,18,219.0
139,-17,0,0,1.34,1026.0,-11.0,0,0,0,1,2010-01-08,19,227.0
140,-17,0,0,1.79,1026.0,-12.0,0,0,0,1,2010-01-08,20,226.0
141,-18,0,0,1.79,1027.0,-14.0,0,1,0,0,2010-01-08,21,225.0
142,-16,0,0,4.92,1027.0,-9.0,0,1,0,0,2010-01-08,22,168.0
143,-16,0,0,6.71,1027.0,-11.0,0,1,0,0,2010-01-08,23,169.0
144,-17,0,0,0.89,1027.0,-13.0,0,0,0,1,2010-01-09,0,165.0
145,-17,0,0,3.13,1027.0,-13.0,0,1,0,0,2010-01-09,1,159.0
146,-17,0,0,4.92,1027.0,-14.0,0,1,0,0,2010-01-09,2,167.0
147,-17,0,0,8.05,1027.0,-15.0,0,1,0,0,2010-01-09,3,196.0
148,-17,0,0,9.84,1027.0,-13.0,0,1,0,0,2010-01-09,4,169.0
149,-19,0,0,13.86,1027.0,-16.0,0,1,0,0,2010-01-09,5,155.0
150,-18,0,0,17.88,1027.0,-15.0,0,1,0,0,2010-01-09,6,119.0
151,-19,0,0,21.9,1027.0,-15.0,0,1,0,0,2010-01-09,7,106.0
152,-18,0,0,25.92,1028.0,-14.0,0,1,0,0,2010-01-09,8,93.0
153,-18,0,0,5.81,1029.0,-9.0,1,0,0,0,2010-01-09,9,84.0
154,-17,0,0,11.62,1029.0,-7.0,1,0,0,0,2010-01-09,10,73.0
155,-17,0,0,17.43,1030.0,-6.0,1,0,0,0,2010-01-09,11,66.0
156,-16,0,0,23.24,1029.0,-6.0,1,0,0,0,2010-01-09,12,40.0
157,-16,0,0,28.16,1029.0,-5.0,1,0,0,0,2010-01-09,13,49.0
158,-15,0,0,33.08,1029.0,-4.0,1,0,0,0,2010-01-09,14,50.0
159,-14,0,0,37.1,1028.0,-4.0,1,0,0,0,2010-01-09,15,49.0
160,-15,0,0,38.89,1029.0,-4.0,1,0,0,0,2010-01-09,16,41.0
161,-15,0,0,1.79,1030.0,-4.0,0,1,0,0,2010-01-09,17,37.0
162,-15,0,0,3.13,1030.0,-7.0,1,0,0,0,2010-01-09,18,45.0
163,-15,0,0,3.13,1031.0,-6.0,0,1,0,0,2010-01-09,19,44.0
164,-15,0,0,4.92,1032.0,-7.0,0,1,0,0,2010-01-09,20,54.0
165,-15,0,0,3.13,1032.0,-6.0,1,0,0,0,2010-01-09,21,50.0
166,-15,0,0,0.45,1033.0,-8.0,0,0,0,1,2010-01-09,22,47.0
167,-15,0,0,0.9,1033.0,-8.0,0,0,0,1,2010-01-09,23,66.0
168,-15,0,0,0.89,1033.0,-11.0,0,1,0,0,2010-01-10,0,75.0
169,-17,0,0,1.78,1033.0,-13.0,0,1,0,0,2010-01-10,1,82.0
170,-17,0,0,4.91,1033.0,-12.0,0,1,0,0,2010-01-10,2,66.0
171,-17,0,0,8.04,1033.0,-13.0,0,1,0,0,2010-01-10,3,83.0
172,-19,0,0,9.83,1032.0,-14.0,0,1,0,0,2010-01-10,4,62.0
173,-18,0,0,12.96,1032.0,-13.0,0,1,0,0,2010-01-10,5,40.0
174,-19,0,0,16.09,1032.0,-13.0,0,1,0,0,2010-01-10,6,23.0
175,-19,0,0,19.22,1033.0,-14.0,0,1,0,0,2010-01-10,7,25.0
176,-19,0,0,22.35,1034.0,-14.0,0,1,0,0,2010-01-10,8,27.0
177,-17,0,0,24.14,1033.0,-12.0,0,1,0,0,2010-01-10,9,35.0
178,-16,0,0,4.02,1033.0,-7.0,1,0,0,0,2010-01-10,10,50.0
179,-15,0,0,3.13,1033.0,-7.0,0,1,0,0,2010-01-10,11,70.0
180,-15,0,0,6.26,1032.0,-7.0,0,1,0,0,2010-01-10,12,75.0
181,-14,0,0,9.39,1031.0,-6.0,0,1,0,0,2010-01-10,13,58.0
182,-14,0,0,12.52,1031.0,-6.0,0,1,0,0,2010-01-10,14,70.0
183,-13,0,0,14.31,1030.0,-5.0,0,1,0,0,2010-01-10,15,68.0
184,-14,0,0,16.1,1031.0,-5.0,0,1,0,0,2010-01-10,16,71.0
185,-14,0,0,19.23,1031.0,-6.0,0,1,0,0,2010-01-10,17,88.0
186,-13,0,0,23.25,1032.0,-7.0,0,1,0,0,2010-01-10,18,84.0
187,-15,0,0,27.27,1032.0,-6.0,0,1,0,0,2010-01-10,19,83.0
188,-15,0,0,30.4,1033.0,-6.0,0,1,0,0,2010-01-10,20,66.0
189,-15,0,0,35.32,1034.0,-4.0,0,1,0,0,2010-01-10,21,27.0
190,-16,0,0,44.26,1034.0,-4.0,0,1,0,0,2010-01-10,22,24.0
191,-17,0,0,52.31,1035.0,-5.0,0,1,0,0,2010-01-10,23,22.0
192,-17,0,0,60.36,1035.0,-6.0,0,1,0,0,2010-01-11,0,23.0
193,-17,0,0,0.89,1035.0,-8.0,0,0,0,1,2010-01-11,1,27.0
194,-19,0,0,4.02,1036.0,-11.0,0,1,0,0,2010-01-11,2,23.0
195,-20,0,0,8.94,1036.0,-11.0,0,1,0,0,2010-01-11,3,17.0
196,-21,0,0,4.02,1035.0,-11.0,1,0,0,0,2010-01-11,4,17.0
197,-22,0,0,3.13,1035.0,-12.0,0,1,0,0,2010-01-11,5,16.0
198,-22,0,0,4.92,1035.0,-12.0,1,0,0,0,2010-01-11,6,16.0
199,-22,0,0,5.81,1036.0,-13.0,0,1,0,0,2010-01-11,7,20.0
200,-22,0,0,13.86,1036.0,-9.0,0,1,0,0,2010-01-11,8,20.0
201,-22,0,0,21.91,1036.0,-10.0,0,1,0,0,2010-01-11,9,18.0
202,-22,0,0,29.06,1036.0,-9.0,0,1,0,0,2010-01-11,10,25.0
203,-21,0,0,33.08,1036.0,-9.0,0,1,0,0,2010-01-11,11,26.0
204,-20,0,0,42.02,1035.0,-6.0,0,1,0,0,2010-01-11,12,27.0
205,-19,0,0,50.96,1034.0,-5.0,0,1,0,0,2010-01-11,13,28.0
206,-19,0,0,59.01,1033.0,-5.0,0,1,0,0,2010-01-11,14,15.0
207,-20,0,0,66.16,1033.0,-5.0,0,1,0,0,2010-01-11,15,24.0
208,-20,0,0,71.97,1032.0,-5.0,0,1,0,0,2010-01-11,16,13.0
209,-20,0,0,76.89,1033.0,-5.0,0,1,0,0,2010-01-11,17,13.0
210,-20,0,0,81.81,1033.0,-7.0,0,1,0,0,2010-01-11,18,13.0
211,-22,0,0,85.83,1033.0,-7.0,0,1,0,0,2010-01-11,19,17.0
212,-22,0,0,89.85,1033.0,-8.0,0,1,0,0,2010-01-11,20,20.0
213,-23,0,0,91.64,1033.0,-10.0,0,1,0,0,2010-01-11,21,27.0
214,-23,0,0,93.43,1033.0,-13.0,0,1,0,0,2010-01-11,22,20.0
215,-22,0,0,0.89,1032.0,-12.0,0,0,0,1,2010-01-11,23,15.0
216,-22,0,0,1.78,1031.0,-15.0,0,0,0,1,2010-01-12,0,21.0
217,-22,0,0,1.79,1031.0,-14.0,1,0,0,0,2010-01-12,1,21.0
218,-22,0,0,0.89,1031.0,-14.0,0,1,0,0,2010-01-12,2,37.0
219,-24,0,0,1.79,1030.0,-18.0,1,0,0,0,2010-01-12,3,26.0
220,-24,0,0,3.58,1030.0,-13.0,1,0,0,0,2010-01-12,4,15.0
221,-25,0,0,3.13,1030.0,-14.0,0,1,0,0,2010-01-12,5,9.0
222,-24,0,0,7.15,1030.0,-14.0,0,1,0,0,2010-01-12,6,11.0
223,-25,0,0,12.96,1030.0,-12.0,0,1,0,0,2010-01-12,7,11.0
224,-26,0,0,16.98,1030.0,-14.0,0,1,0,0,2010-01-12,8,16.0
225,-25,0,0,21.0,1031.0,-12.0,0,1,0,0,2010-01-12,9,13.0
226,-25,0,0,26.81,1031.0,-11.0,0,1,0,0,2010-01-12,10,15.0
227,-24,0,0,35.75,1030.0,-11.0,0,1,0,0,2010-01-12,11,21.0
228,-23,0,0,47.82,1029.0,-11.0,0,1,0,0,2010-01-12,12,24.0
229,-22,0,0,63.02,1029.0,-11.0,0,1,0,0,2010-01-12,13,22.0
230,-23,0,0,75.98,1029.0,-11.0,0,1,0,0,2010-01-12,14,22.0
231,-22,0,0,88.05,1029.0,-11.0,0,1,0,0,2010-01-12,15,22.0
232,-23,0,0,101.01,1030.0,-11.0,0,1,0,0,2010-01-12,16,19.0
233,-24,0,0,109.06,1030.0,-11.0,0,1,0,0,2010-01-12,17,23.0
234,-24,0,0,118.0,1032.0,-11.0,0,1,0,0,2010-01-12,18,25.0
235,-23,0,0,126.05,1032.0,-11.0,0,1,0,0,2010-01-12,19,25.0
236,-23,0,0,134.1,1032.0,-12.0,0,1,0,0,2010-01-12,20,31.0
237,-24,0,0,142.15,1033.0,-12.0,0,1,0,0,2010-01-12,21,25.0
238,-23,0,0,150.2,1033.0,-12.0,0,1,0,0,2010-01-12,22,22.0
239,-23,0,0,160.03,1034.0,-12.0,0,1,0,0,2010-01-12,23,22.0
240,-24,0,0,169.86,1034.0,-12.0,0,1,0,0,2010-01-13,0,15.0
241,-24,0,0,178.8,1033.0,-12.0,0,1,0,0,2010-01-13,1,16.0
242,-25,0,0,189.98,1033.0,-12.0,0,1,0,0,2010-01-13,2,11.0
243,-24,0,0,198.03,1033.0,-13.0,0,1,0,0,2010-01-13,3,11.0
244,-25,0,0,205.18,1032.0,-12.0,0,1,0,0,2010-01-13,4,12.0
245,-25,0,0,215.01,1033.0,-12.0,0,1,0,0,2010-01-13,5,11.0
246,-25,0,0,226.19,1032.0,-12.0,0,1,0,0,2010-01-13,6,12.0
247,-25,0,0,235.13,1032.0,-12.0,0,1,0,0,2010-01-13,7,27.0
248,-25,0,0,243.18,1032.0,-12.0,0,1,0,0,2010-01-13,8,28.0
249,-23,0,0,252.12,1033.0,-11.0,0,1,0,0,2010-01-13,9,34.0
250,-23,0,0,257.93,1033.0,-10.0,0,1,0,0,2010-01-13,10,33.0
251,-22,0,0,263.74,1033.0,-9.0,0,1,0,0,2010-01-13,11,36.0
252,-21,0,0,270.89,1031.0,-8.0,0,1,0,0,2010-01-13,12,26.0
253,-21,0,0,278.94,1030.0,-6.0,0,1,0,0,2010-01-13,13,49.0
254,-20,0,0,286.99,1029.0,-5.0,0,1,0,0,2010-01-13,14,52.0
255,-22,0,0,294.14,1028.0,-5.0,0,1,0,0,2010-01-13,15,47.0
256,-21,0,0,299.06,1028.0,-5.0,0,1,0,0,2010-01-13,16,47.0
257,-19,0,0,1.79,1028.0,-7.0,0,0,1,0,2010-01-13,17,39.0
258,-19,0,0,0.45,1028.0,-8.0,0,0,0,1,2010-01-13,18,59.0
259,-20,0,0,1.34,1028.0,-9.0,0,0,0,1,2010-01-13,19,76.0
260,-19,0,0,1.79,1027.0,-10.0,0,0,1,0,2010-01-13,20,96.0
261,-19,0,0,0.89,1027.0,-13.0,0,0,0,1,2010-01-13,21,95.0
262,-18,0,0,1.78,1027.0,-12.0,0,0,0,1,2010-01-13,22,68.0
263,-18,0,0,0.89,1027.0,-13.0,1,0,0,0,2010-01-13,23,65.0
264,-19,0,0,13.86,1034.0,-7.0,1,0,0,0,2010-01-15,0,36.0
265,-17,0,0,5.81,1035.0,-8.0,0,1,0,0,2010-01-15,1,37.0
266,-18,0,0,11.62,1035.0,-10.0,0,1,0,0,2010-01-15,2,30.0
267,-19,0,0,14.75,1036.0,-10.0,0,1,0,0,2010-01-15,3,18.0
268,-19,0,0,19.67,1036.0,-9.0,0,1,0,0,2010-01-15,4,21.0
269,-19,0,0,7.15,1036.0,-9.0,1,0,0,0,2010-01-15,5,13.0
270,-20,0,0,12.96,1037.0,-9.0,1,0,0,0,2010-01-15,6,23.0
271,-19,0,0,18.77,1037.0,-9.0,1,0,0,0,2010-01-15,7,26.0
272,-19,0,0,22.79,1038.0,-8.0,1,0,0,0,2010-01-15,8,27.0
273,-19,0,0,28.6,1039.0,-8.0,1,0,0,0,2010-01-15,9,30.0
274,-19,0,0,35.75,1039.0,-7.0,1,0,0,0,2010-01-15,10,28.0
275,-18,0,0,41.56,1039.0,-6.0,1,0,0,0,2010-01-15,11,26.0
276,-18,0,0,45.58,1039.0,-5.0,1,0,0,0,2010-01-15,12,26.0
277,-17,0,0,1.79,1038.0,-4.0,0,1,0,0,2010-01-15,13,31.0
278,-16,0,0,0.89,1037.0,-3.0,0,0,0,1,2010-01-15,14,35.0
279,-17,0,0,1.78,1037.0,-3.0,0,0,0,1,2010-01-15,15,36.0
280,-17,0,0,2.23,1037.0,-2.0,0,0,0,1,2010-01-15,16,37.0
281,-15,0,0,0.89,1036.0,-5.0,0,0,1,0,2010-01-15,17,64.0
282,-15,0,0,0.89,1036.0,-6.0,0,0,0,1,2010-01-15,18,83.0
283,-15,0,0,1.78,1037.0,-6.0,0,0,0,1,2010-01-15,19,91.0
284,-14,0,0,1.79,1037.0,-6.0,0,0,1,0,2010-01-15,20,90.0
285,-14,0,0,3.58,1036.0,-8.0,0,0,1,0,2010-01-15,21,102.0
286,-14,0,0,0.89,1037.0,-10.0,0,0,0,1,2010-01-15,22,94.0
287,-15,0,0,1.78,1036.0,-11.0,0,0,0,1,2010-01-15,23,87.0
288,-15,0,0,2.67,1036.0,-11.0,0,0,0,1,2010-01-16,0,141.0
289,-16,0,0,0.89,1036.0,-13.0,1,0,0,0,2010-01-16,1,211.0
290,-16,0,0,0.89,1036.0,-12.0,0,0,0,1,2010-01-16,2,242.0
291,-16,0,0,0.89,1035.0,-13.0,1,0,0,0,2010-01-16,3,271.0
292,-15,0,0,1.78,1035.0,-12.0,1,0,0,0,2010-01-16,4,249.0
293,-14,0,0,1.79,1034.0,-10.0,0,1,0,0,2010-01-16,5,200.0
294,-15,0,0,2.68,1034.0,-10.0,0,1,0,0,2010-01-16,6,147.0
295,-15,0,0,4.47,1034.0,-11.0,0,1,0,0,2010-01-16,7,114.0
296,-15,0,0,6.26,1034.0,-11.0,0,1,0,0,2010-01-16,8,102.0
297,-14,0,0,8.05,1034.0,-9.0,0,1,0,0,2010-01-16,9,108.0
298,-14,0,0,9.84,1034.0,-9.0,0,1,0,0,2010-01-16,10,135.0
299,-13,0,0,0.89,1034.0,-6.0,0,0,0,1,2010-01-16,11,120.0
300,-13,0,0,1.79,1033.0,-5.0,0,1,0,0,2010-01-16,12,148.0
301,-12,0,0,0.89,1031.0,-4.0,0,0,0,1,2010-01-16,13,127.0
302,-12,0,0,1.78,1031.0,-3.0,0,0,0,1,2010-01-16,14,128.0
303,-12,0,0,2.67,1030.0,-3.0,0,0,0,1,2010-01-16,15,140.0
304,-11,0,0,3.56,1030.0,-3.0,0,0,0,1,2010-01-16,16,148.0
305,-11,0,0,0.89,1031.0,-4.0,1,0,0,0,2010-01-16,17,150.0
306,-12,0,0,0.89,1031.0,-7.0,0,0,0,1,2010-01-16,18,154.0
307,-12,0,0,1.78,1032.0,-7.0,0,0,0,1,2010-01-16,19,197.0
308,-12,0,0,2.23,1032.0,-8.0,0,0,0,1,2010-01-16,20,235.0
309,-12,0,0,3.12,1032.0,-9.0,0,0,0,1,2010-01-16,21,261.0
310,-13,0,0,0.89,1032.0,-11.0,0,1,0,0,2010-01-16,22,269.0
311,-14,0,0,2.68,1032.0,-11.0,0,1,0,0,2010-01-16,23,266.0
312,-15,0,0,5.81,1032.0,-12.0,0,1,0,0,2010-01-17,0,263.0
313,-14,0,0,0.45,1032.0,-11.0,0,0,0,1,2010-01-17,1,241.0
314,-14,0,0,1.34,1031.0,-11.0,0,0,0,1,2010-01-17,2,205.0
