uid,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
39,0,0,-1,0,35.13165188,15.34462999,1,5.867750468,1,0,1,0,1,2,0,0,-1,21,1,28.35513804,0
40,0,0,-1,0,150.39,23.23,1,12.64,3,4,1,0,1,50,13,0,-1,78,3,156,1
41,5,60,102.97543,0,81.32,23,1,64.98,1,86,1,0,1,2,28,55,-1,53,2,67,1
42,0,0,-1,0,119.45,13.43,1,0,4,8,1,0,1,9,1,0,-1,88,4,107,1
43,1,1,97.23693834,0,140.3043705,68.05644362,1,221.7225126,1,1,1,0,1,1,2,10,53.25613296,135,6,185.5938473,0
44,0,0,120.08366,35,43.22,13.78,1,17.32,1,6,1,131,1,25,5,0,110.38,34,1,29,1
45,26,94,116.69096,0,103.67,16.72,1,57.16,6,6,1,0,1,8,3,12,-1,55,3,76,0
46,0,0,-1,0,99.23724755,21.23771608,1,0,1,3,1,0,1,3,19,0,1.885073415,70,1,53.07661772,1
47,1,24,-1,0,109.12,0,1,0,1,18,1,0,1,7,1,8,-1,152,30,80,0
48,1,0,117.5685695,0,261.6025425,33.65480322,1,82.42341604,2,1,1,0,1,13,2,0,125.2618766,61,2,137.2192884,0
49,237,69,116.96701,19,50.9,20.81,164,0.35,6,10,1,193,1,19,7,5,198.07,76,19,52,1
50,0,0,114.3193356,0,81.51242186,20.04771064,1,10.15528564,1,18,1,0,1,3,3,0,-1,25,1,68.82757194,0
51,23,72,-1,0,79.19,30.97,1,0.17,2,110,1,94,1,6,4,8,-1,40,10,86,0
52,1,1,112.96831,93,67.33,9.9,1,1.03,6,14,1,0,1,17,48,1,92.44,88,1,37,1
53,0,0,116.67552,0,109,13.77,1,0,3,28,1,0,1,43,82,0,0.91,231,20,94,1
54,1,1,114.4689181,0,50.50049064,39.02272638,1,21.25263092,1,9,1,0,1,5,33,1,-0.249781185,103,1,51.49874021,0
55,1,6,120.16502,11,70.37,22.93,1,13.55,1,1,1,0,1,47,23,5,73.57,55,14,62,1
56,100,213,114.06931,12,140.37,79.51,22,0.23,4,27,1,127,1,46,63,11,196.01,308,16,20,1
57,0,0,113.26762,75,61.84,5.55,1,0.63,3,14,1,0,1,25,17,0,111.53,125,4,42,1
58,1,1,120.28822,180,48.44,13.71,26,25.62,2,11,1,0,1,10,5,1,200.55,48,1,13,1
59,0,0,-1,19,33.55,16.8,1,0,1,6,1,0,121,14,12,0,19.01,17,1,5,1
60,1,3,-1,53,103.48,0,1,0,1,1,1,0,1,52,2,2,55.2,118,3,101,1
61,15,18,114.68632,0,96.66,80.5,1,0.43,1,2,1,73,1,21,18,2,-1,290,1,19,1
62,0,0,125.31262,0,71.3,12.3,25,39.72,3,1,116,0,1,105,224,0,24.71,60,3,37,1
63,20,21,113.56362,93,78.91,43.72,1,247.57,1,54,1,0,1,17,5,20,92.38,46,39,67,1
64,72,49,118.58282,0,59.61,0,1,0,1,1,1,0,1,12,119,8,-1,24,9,33,1
65,1,27,-1,0,112.05,0,1,0,1,2,1,0,1,21,0,5,-1,18,22,87,1
66,0,0,-1,0,34.76,74.24,1,0,3,14,5,0,1,7,131,0,-1,21,4,30,0
67,1,3,114.27912,57,59.75,19.52,1,27.73,13,16,1,150,1,4,56,3,204.17,58,6,48,0
68,21,23,120.61312,0,67.8,4.07,1,26.4,13,7,1,0,1,10,26,16,-1,15,1,221,1
69,1,2,106.58543,0,836,31.62,1,19.6,1,13,1,0,1,26,0,4,7.04,33,1,67,1
70,11,11,126.62252,37,109.68,2.11,1,43.6,74,0,1,0,1,1,7,4,35.96,122,1,99,1
71,0,0,-1,8,34.83,61.94,1,24.02,1,39,1,0,1,2,0,0,6.03,21,3,29,1
72,1,9,117.95612,4,21.1,50.32,1,0,1,11,1,0,1,7,12,2,71.68,18,5,38,1
73,1,21,114.4936,0,74.02,20.22,1,27.11,1,93,1,0,1,4,26,5,-1,22,6,68,1
74,1,1,-1,0,47.70461328,2.721126394,1,0.117764497,1,0,1,0,1,4,1,2,-1,24,1,48.39728791,0
75,97,63,-1,107,172.8,9.61,1,201.66,50,133,1,0,1,5,53,3,106.76,153,1,58,1
76,151,75,-1,7,186.75,0,14,0,1,144,1,0,1,2,5,9,6.79,50,10,198,1
77,1,1,120.74922,4,115.8,19.27,1,22.33,1,67,1,0,1,8,23,1,4.28,359,5,55,1
78,1,55,112.4616,16,90.87,26.96,1,99.37,3,78,1,122,1,10,29,7,28.95,96,3,74,0
79,1,33,119.30322,0,132.03,0,1,0,7,38,1,0,1,3,6,7,-1,59,3,134,1
80,12,47,110.34331,0,110.82,40.72,1,24.8,4,29,1,0,1,10,15,10,-1,59,11,46,1
81,1,0,114.945201,0,102.6706557,42.11991863,1,1.045508775,1,0,1,0,1,1,0,0,-1,95,4,52.46085435,0
82,0,0,119.119,0,29.57,9.46,1,0,1,60,1,0,1,6,143,0,-1,23,1,17,1
83,0,0,113.65302,9,55.21,34.15,1,13.71,1,11,1,0,1,49,49,0,6.83,43,2,33,1
84,1,1,116.38791,35,237.4,25.19,1,28.36,32,22,56,0,1,5,25,4,59.31,181,16,149,0
85,116,207,118.011,5,123.02,0,1,0,3,3,1,0,1,3,8,11,8.82,150,26,90,1
86,1,1,116.938805,4,84.33787493,25.00759143,1,16.85479117,1,66,1,0,1,18,20,24,180.7640186,59,2,141.9417875,0
87,0,0,118.58282,1,33.68,16.45,27,19.05,1,8,1,0,1,12,22,0,0.51,22,2,26,0
88,10,7,111.53714,56,67.94,19.09,1,113.7,1,11,1,0,1,7,94,3,61.15,24,1,33,1
89,1,5,105.27932,54,112.16,42.61,1,1.24,2,16,1,0,1,38,2,8,129.44,55,95,149,1
90,41,116,111.53714,35,42.33,31.88,1,111.93,1,37,1,0,1,6,1,3,58.99,25,4,37,1
91,144,440,113.26762,4,88.73,0.12,4,0.36,3,5,1,0,1,26,45,40,28.48,75,1,59,1
92,0,0,-1,13,22.76,46.48,1,0.17,1,115,1,0,1,3,54,0,12.33,6,2,15,1
93,1,3,118.011,0,108.51,16.47,1,280.47,1,19,1,0,1,16,57,2,-1,42,14,88,1
94,25,20,-1,17,59.21,20.7,1,41.26,4,102,1,0,1,1,2,5,19.74,42,6,56,1
95,0,0,-1,0,51.54232171,21.01844089,1,0.526911822,1,0,1,0,1,4,0,0,14.68824516,26,1,55.34970931,1
96,47,320,113.41933,19,66.45,52.93,1,0.48,8,2,65,0,1,4,2,22,18.4,45,11,76,0
97,0,0,104.07555,16,41.48,21.88,1,23.14,1,2,1,0,1,21,3,0,27.73,13,4,25,1
98,1,1,-1,0,48,11.41,1,0,7,10,1,0,1,31,1,1,-1,28,2,31,1
99,133,444,121.47262,29,95.14,13.1,1,20.58,101,87,189,49,1,10,49,19,89.85,171,1,130,0
100,1,1,118.2466605,0,180.9943238,32.49445458,1,311.3478788,1,5,1,0,1,1,5,1,31.65666888,43,1,236.2182958,0
101,188,67,109.46801,8,86.93,38.49,129,71.8,1,21,1,0,1,14,15,66,145.1,67,11,77,1
102,111,215,-1,0,200.16,27.31,1,3.38,9,12,1,0,1,77,18,24,10.31,69,65,219,1
103,1,1,-1,0,31.92283929,21.5579875,1,12.99687092,1,0,1,0,1,1,1,1,29.771245,4,4,25.31498405,1
104,7,3,120.08366,23,45.16,25.62,1,44.59,1,33,1,6,1,3,21,11,22.94,56,1,28,1
105,1,14,119.365,0,36.13,12.86,1,3.17,1,23,1,0,1,6,0,4,-1,33,4,25,1
106,0,0,106.52262,0,67.95,7.01,3,11.93,1,40,1,0,1,38,15,0,2.06,214,1,42,1
107,1,10,106.7571006,4,106.334224,23.58011389,1,19.19005716,2,22,1,0,1,18,25,24,101.111423,67,2,155.2904902,0
108,0,0,114.05388,38,66.05,22.19,1,0,5,8,1,0,1,10,10,0,37.86,96,2,36,1
109,1,1,104.350651,6,58.84852568,4.272115111,1,23.07769273,1,42,1,0,1,6,1,1,130.819818,13,1,29.96884139,0
110,1,1,-1,3,31.81,25.2,1,6.01,1,71,1,0,1,4,2,1,2.69,12,1,40,1
111,1,1,-1,0,112.08,0,1,0,1,87,1,0,1,2,14,1,-1,33,5,102,1
112,129,21,119.52372,61,157.34,34.34,1,61.5,1,4,1,0,1,10,137,20,60.24,54,24,141,1
113,72,43,118.011,7,81.64,11.72,17,53.34,1,0,1,0,1,1,24,7,36.96,26,26,86,1
114,0,0,104.07555,0,47.4,47.18,1,3.44,1,5,1,0,1,10,7,0,-1,44,1,32,1
115,0,0,-1,0,34.33,15.82,1,0.4,1,1,1,0,1,11,44,0,-1,67,1,20,1
116,1,1,-1,0,39.72,30.15,75,12.72,3,18,1,0,1,8,30,1,60.7,29,1,20,1
117,1,1,126.62252,0,48,10.85,1,35.5,2,0,1,0,1,1,56,1,-1,18,1,70,1
118,0,0,-1,0,70.18,2.16,39,29.96,2,32,1,0,156,6,18,0,0,142,1,1,1
119,0,0,116.38791,0,24.85,16.78,84,21.65,1,87,1,0,1,5,107,0,83.69,4,1,25,1
120,1,0,-1,0,31.91305387,40.63399792,1,0.185489842,1,13,1,0,1,2,0,0,0.924624854,10,2,31.50397169,0
121,0,0,114.0561334,0,40.46449155,26.87069375,1,15.55139814,1,24,1,0,1,7,2,0,10.26718468,41,1,41.94313664,0
122,0,0,-1,0,67.63,47.56,1,0,1,6,1,0,1,49,63,0,-1,58,10,56,1
123,131,372,114.05388,30,34.95,6.13,1,0,22,26,1,0,1,11,146,40,93.29,39,1,27,1
124,0,0,118.885436,4,20.88074513,15.5302127,1,3.133119671,1,1,1,0,1,2,5,0,185.4413104,31,1,19.44890378,0
125,1,1,123.4462435,0,47.69234984,10.62526693,1,16.81172872,1,3,1,0,1,6,13,1,-1,36,1,32.41273104,0
126,198,266,115.63542,17,65.35,11.73,57,0,9,3,1,0,1,31,107,24,170.28,127,2,90,1
127,1,0,116.0375788,0,142.3573704,41.54455599,1,0.013429288,1,11,1,0,1,5,4,8,-0.981193556,59,2,115.9863984,1
128,1,3,115.48022,0,8.51,7.89,1,0.18,1,0,1,0,1,1,1,2,-1,1,1,7,0
129,131,30,104.76332,0,57.2,10.36,1,130.07,1,1,1,0,1,17,5,15,0.84,26,19,58,1
130,1,2,117.66502,4,27.6,2.52,18,15.64,1,8,1,0,1,11,32,3,88.58,30,1,22,1
131,0,0,114.0841156,4,33.98166966,46.22906754,1,28.20178698,1,0,1,0,1,4,0,0,46.32550004,15,2,34.46305172,0
132,139,18,102.70201,0,64.09,28.45,1,0,1,1,1,0,1,6,7,8,-1,30,16,54,1
133,73,39,113.26762,72,56.74,32.82,1,0,1,61,1,0,1,4,22,2,71.23,175,1,42,1
134,5,16,109.82756,85,38.86,43.26,1,0,6,15,1,0,1,3,23,6,206.04,48,14,63,1
135,1,1,116.8350745,0,316.6093392,16.47485475,1,170.1942269,1,1,1,0,1,6,1,1,27.36638092,139,9,242.4577019,0
136,1,30,121.47262,10,15.31,17.94,1,26.87,3,5,67,0,1,4,2,2,9.02,63,15,29,0
137,0,0,106.4472132,4,36.06713762,22.0618723,1,34.30633257,1,8,1,0,1,2,6,0,93.95860224,39,1,24.96517593,0
138,1,12,-1,4,41.75,30.38,1,3.16,2,13,1,0,1,33,84,8,28.71,17,9,57,1
139,0,0,115.6666091,0,73.57788589,31.19137307,1,2.909675747,1,0,1,0,1,1,1,0,0.13722773,25,1,1,0
140,0,0,114.05388,15,19.64,42.12,1,0.71,1,26,1,0,1,6,121,0,17.32,12,2,14,1
141,0,0,112.2465,50,121.85,29.79,1,0.28,1,8,1,0,1,16,28,0,49.71,153,8,100,0
142,0,0,114.1118211,24,23.02901815,45.56526394,1,5.051430792,1,0,1,0,1,1,1,0,63.26254916,34,1,20,1
143,1,3,116.58031,12,145.4,7.19,1,21.09,4,33,1,149,1,5,22,3,169.73,116,8,171,1
144,156,125,118.926,4,72.23,64.72,15,80.59,1,36,1,0,1,3,1,79,73.16,50,86,109,1
145,18,29,121.54355,0,100.29,10.31,1,80.64,1,5,1,0,1,9,29,18,-1,153,2,34,1
146,0,0,-1,27,16.73,53.18,1,0,1,0,1,0,1,1,15,0,57.64,16,2,12,1
147,87,66,-1,64,192.55,26,1,120.18,2,6,1,0,1,37,17,13,61.77,254,6,102,1
148,138,129,-1,0,54.89,12.73,1,0,138,58,1,0,1,2,4,20,0.55,45,1,54,1
149,0,0,-1,0,40.38,49.47,1,0,1,136,1,0,1,3,62,0,-1,52,26,24,1
150,128,41,-1,0,31.93,0,6,0,1,24,1,0,1,6,56,4,-1,21,7,23,1
151,38,50,120.28822,88,40.9,17.71,1,0,1,220,1,0,1,18,229,3,173.07,23,13,31,1
152,1,0,111.3581462,0,78.98421232,21.74010481,1,3.028634201,1,28,1,0,1,7,1,4,3.250338069,48,2,86.79918863,0
153,137,61,113.26762,57,68.74,50.21,1,20.49,6,51,89,116,1,3,9,3,132.73,59,2,11,1
154,1,1,118.9624179,7,61.44436683,1.666583615,1,23.88716175,4,13,1,0,1,6,1,1,199.6852509,62,2,100.9289916,1
155,1,0,120.407131,0,70.3160132,48.22544552,1,105.2302487,1,16,1,0,1,8,66,0,-1,39,2,49.07977084,1
156,1,0,-1,0,63.64224778,30.67962254,1,48.7410135,1,0,1,0,1,4,0,0,0.222477808,19,2,42.10119645,0
157,1,0,-1,0,53.85309555,1.51088828,1,16.3853229,1,19,1,0,1,4,1,0,1.390856908,5,1,45.31673402,0
158,1,1,106.52262,0,125.45,17.27,1,0,1,46,1,0,1,3,4,1,0.01,65,3,120,1
159,1,2,-1,0,52.84,62.88,1,4.33,2,4,69,0,1,4,32,2,-1,27,6,42,1
160,1,1,112.5933498,0,24.64355719,21.05827637,1,17.60111157,1,0,1,0,1,3,1,1,32.25410973,27,5,18.44369363,0
161,1,1,114.1884909,0,49.59441085,27.67996664,1,11.32245747,1,88,1,0,1,2,19,1,138.1241651,13,1,20.65847509,1
162,197,85,121.47262,36,71.35,30.58,1,66.81,8,33,1,111,1,5,20,4,44.87,84,6,66,0
163,1,11,120.28822,13,67.33,15.77,1,0,1,136,74,0,1,2,2,3,12.99,64,1,42,1
164,1,1,113.26762,0,68.91541157,33.56834888,1,135.3186914,1,4,1,0,1,4,16,1,10.21884618,39,8,67.48031843,1
165,0,0,116.38791,0,26.95,2.1,1,14.55,1,29,1,0,1,2,7,0,-1,7,1,17,1
166,0,0,-1,0,28.88,52.36,1,0.21,1,9,37,0,1,11,35,0,-1,11,1,22,1
167,1,1,114.9300778,30,101.1237124,10.60937868,1,63.89842605,1,22,1,0,1,6,33,1,152.4913934,100,1,108.8049086,0
168,1,1,121.47262,0,34.04,15.7,1,8.44,1,8,91,0,1,7,2,1,-1,22,4,27,1
169,1,1,106.52262,16,46.17,55.96,1,40.57,1,30,1,0,1,3,48,3,27.81,37,82,59,1
170,0,0,113.41933,0,46.75,16.12,1,0,2,27,1,0,1,6,0,0,-1,6,5,24,1
171,1,3,118.011,0,71.96,16.08,1,133.47,1,26,1,0,1,3,31,2,-1,36,1,71,1
172,0,0,113.7672602,0,16.5102363,18.00973029,1,7.573408944,1,12,1,0,1,5,1,0,-1,41,1,13.64838726,0
173,0,0,116.69096,45,36.49,25.06,1,52.13,10,19,1,0,1,11,26,0,108.06,39,3,36,0
174,0,0,-1,4,149.52,22.31,1,0.29,16,1,1,0,1,43,4,0,3.9,19,2,114,1
175,142,79,108.9356,0,91.2,3.45,54,27.62,3,6,10,0,1,30,60,7,53.86,104,3,72,1
176,1,4,121.47262,4,40.8,20.92,1,37.1,4,43,238,89,1,6,25,2,15.96,55,6,39,1
177,1,2,117.18511,42,56.89,30.99,1,22.59,1,69,1,0,1,12,27,6,42.94,52,11,35,1
178,0,0,113.02331,0,40.44,56.74,1,0,1,63,1,0,1,5,114,0,38.35,101,1,27,1
179,8,10,-1,19,45.86,5.31,6,0,77,7,1,0,1,11,13,2,55.54,55,1,64,1
180,1,1,120.64772,0,197.55,25.37,1,44.75,3,0,1,0,1,1,11,3,-1,432,1,49,1
181,22,104,123.89436,0,182.44,25.6,2,0,10,22,1,0,1,3,27,35,0.01,179,2,171,1
182,10,40,-1,0,92.75,44.53,1,0.63,1,5,1,0,1,7,7,2,-1,237,1,37,0
183,1,1,-1,0,50.41610551,47.49875732,1,0,1,0,1,0,1,1,1,2,-1,5,2,47.55556441,1
184,0,0,114.06931,0,94.17,37.75,1,0,4,25,1,0,1,31,28,0,4.41,113,9,64,1
185,1,10,109.14711,18,51.86,11.36,1,82.17,4,4,1,0,1,17,1,14,16.17,39,1,53,1
186,0,0,126.62252,0,62.29,15.4,1,27.54,9,0,85,0,1,1,1,0,-1,115,1,44,1
187,1,1,115.0198148,0,60.68304014,2.830414333,1,0,1,1,1,0,1,5,5,1,7.07838557,36,2,28.68188837,0
188,1,25,114.05388,102,126.4,28.06,1,243.68,4,33,36,186,1,20,1,4,141.93,175,7,78,1
189,1,1,-1,29,60.24,73.68,2,4.06,10,20,1,47,1,6,6,1,45.92,87,1,51,1
190,1,11,113.41933,95,79.41,44.05,1,0,1,2,1,0,1,25,27,7,105.18,105,7,85,1
191,1,15,113.65302,200,115.11,10.01,1,0.34,21,19,1,162,1,10,97,9,279.7,362,2,211,1
192,0,0,-1,0,122.16,16.92,32,0.92,4,2,1,0,1,28,15,0,17.03,122,5,111,1
193,1,1,114.06931,119,301.82,20.65,1,38.75,9,3,1,0,1,18,32,1,118.61,395,5,237,0
194,0,0,118.36052,0,90.22,25.08,1,0,1,19,1,0,1,17,9,0,-1,37,2,44,1
195,0,0,116.1895251,0,126.4616585,30.40219867,1,0.186565765,1,8,1,0,1,3,0,0,-0.140745138,59,4,52.01487277,1
196,1,1,106.4512916,15,94.12075118,7.694575187,1,1876.851727,1,25,1,0,1,1,2,22,97.17491024,39,1,73.79008907,0
197,2,13,117.24572,22,77.5,100,1,0.09,4,34,1,181,1,13,4,3,133.49,62,45,108,1
198,1,3,120.08366,0,41.83,17.07,17,1.05,2,7,145,0,1,18,11,3,16.92,31,3,33,1
199,1,34,113.26762,0,111.29,21.26,1,29.53,16,36,1,0,1,15,33,15,-1,81,13,81,1
200,95,15,115.35222,17,57.31,28.89,2,61.98,1,55,1,0,1,15,1,5,29.06,41,8,76,1
201,0,0,-1,0,67.41832935,26.79829095,1,0.576629985,1,1,1,0,1,4,4,0,37.15585065,26,2,51.86591584,0
202,13,3,113.41933,4,26.56,32.14,9,0,5,6,1,0,1,10,69,5,11.29,20,4,18,0
203,1,168,109.1682013,6,52.25855936,38.72186266,1,125.377781,1,0,1,0,1,7,1,6,114.5056749,11,2,53.6874648,1
204,1,10,111.95132,14,109.64,48.45,12,90.69,26,38,75,0,1,22,16,6,205.78,77,76,215,0
205,1,1,105.7735639,0,17.47257006,26.1679766,1,13.40831489,1,96,1,0,1,2,5,1,165.8794394,36,1,34.89249274,0
206,1,1,-1,10,69.17,20.33,5,0,15,5,1,0,1,8,9,1,42.11,21,86,123,0
207,0,0,116.84981,0,23.8,12.76,1,0.19,1,149,1,0,1,3,11,0,117,20,1,12,1
208,1,1,-1,4,26.84,15.72,1,8.76,1,0,1,0,1,1,4,1,3.36,40,3,11,1
209,1,7,114.27912,7,84.8,22.32,1,0.18,1,12,1,0,1,6,3,4,10.09,136,9,88,0
210,0,0,114.27912,0,61.75,6.81,1,12.05,1,28,1,0,1,8,61,0,-1,80,1,42,1
211,167,325,118.011,18,241.72,12.86,1,290.07,12,22,1,51,1,7,79,32,17.63,232,5,198,1
212,1,1,114.48893,0,66.3,33.83,1,29.86,1,13,1,0,1,10,38,1,-1,41,2,52,1
213,0,0,-1,0,54.74,50.57,25,0.16,2,87,1,0,1,3,108,0,24.97,25,7,64,1
214,1,5,-1,0,97.48,8.13,1,21.92,2,3,1,0,1,23,38,2,-1,79,2,55,1
215,2,42,-1,0,32.03,10.39,1,11.12,1,16,1,0,1,11,1,20,-1,22,3,36,1
216,1,1,-1,0,57.47,0,1,0,1,97,1,0,1,2,2,1,-1,24,10,55,1
217,1,1,119.42701,0,83.92,23.56,138,22.9,33,11,1,0,1,11,29,1,145.34,64,4,68,1
218,0,0,117.18511,24,150.97,24.51,1,38.85,7,94,1,0,1,2,24,0,28.85,74,1,176,1
219,0,0,118.12581,0,118.16,18.74,126,203.17,1,102,235,0,1,19,8,0,130,36,11,160,0
220,101,181,121.54355,4,71.92,7.1,1,23.5,31,21,1,0,1,10,5,49,145.56,71,1,92,1
221,184,456,116.38791,0,102.93,33.68,45,21.53,68,4,72,0,1,6,17,44,44.76,129,5,75,1
222,1,17,112.96831,0,198.41,19.2,1,1.04,5,0,1,0,1,1,8,4,-1,70,11,185,1
223,1,23,104.07102,7,56.39,2,6,144.3,20,6,167,0,1,17,35,26,11.68,48,2,51,1
224,10,41,117.02451,70,41.27,77.22,1,18,1,47,1,0,1,16,11,7,69.4,44,2,42,1
225,1,0,114.6755656,0,61.91691665,10.94306019,1,24.14054576,1,21,1,0,1,7,1,4,2.122870923,36,1,57.57823011,0
226,72,7,-1,4,206.23,24.67,1,9.71,1,16,1,0,1,13,32,2,4.81,103,7,143,1
227,1,27,120.08366,0,195.74,28.07,1,0,1,1,1,0,1,8,27,15,-1,21,72,205,1
228,1,1,119.0144304,4,95.1946186,15.19175083,1,66.36493795,3,1,1,0,1,3,2,3,31.74160675,98,1,102.2364756,0
229,0,0,113.11061,0,152.3,6.65,1,69.63,1,12,1,0,35,10,1,0,-1,32,1,258,1
230,1,1,119.52372,0,56.17,36.95,1,23.64,2,17,1,0,1,15,0,4,-1,19,9,37,1
231,0,0,108.9356,0,61.86,9.66,1,41.85,1,11,1,0,1,15,8,0,4.46,38,5,41,1
232,0,0,113.26762,0,40.19,30.42,1,0,2,3,1,0,1,9,27,0,-1,24,2,6,1
233,0,0,104.07555,0,92.73,13.71,1,272.98,1,5,1,0,1,11,0,0,-1,76,5,59,0
234,1,0,-1,0,214.2265225,48.83023201,1,7.413001824,1,2,1,0,1,18,1,29,16.57641234,54,2,225.0674729,1
235,1,1,109.9189197,0,55.89203383,27.35758959,1,131.9278184,1,4,1,0,1,3,66,1,8.392402407,41,2,55.1655464,0
236,1,30,-1,0,67.08,18.98,26,5.21,7,10,1,0,1,6,0,18,25.7,27,10,44,1
237,1,1,-1,0,32.54390625,34.81272356,1,0,1,0,1,0,1,4,1,2,-1,24,2,36,0
238,1,14,-1,0,149.88,0,1,0,1,22,1,0,1,5,26,3,-1,80,17,140,1
239,1,0,111.9795641,0,58.99509514,26.69047929,1,5.508549384,1,24,1,0,1,6,3,0,1.482600942,37,3,45.34743518,0
240,1,2,113.11061,14,106.63,19.88,1,0,3,9,1,0,1,19,15,7,13.88,154,8,55,1
241,1,1,118.2669429,0,279.0594128,29.75847042,1,146.3759256,1,25,1,0,1,6,9,0,93.10975965,66,1,107.1109652,0
242,1,4,114.27912,0,105.47,20.68,1,59.1,12,20,1,78,1,9,13,17,0.01,67,3,93,1
243,135,15,-1,10,63.07,45.49,1,86.05,5,2,1,0,1,8,1,5,18.71,35,8,76,1
244,0,0,120.16502,19,67.73,25.55,1,31.14,2,8,55,0,1,16,14,0,97.23,102,1,36,1
245,1,29,120.64772,8,63.33,12.83,1,24.18,2,20,1,0,1,10,2,8,27.43,141,12,39,1
