file: 上.mp3
***********************************result**************************************
[0:53.000,0:55.180]  好，那个同学们下午好。
[4:46.120,4:50.020]  就是十几个组发出来，我还分不出是哪个组的。
[4:50.020,4:55.780]  所以为了让达到这一点，你的主号你这个文件名错了，我就不认得啊，就你们组还没发啊。
[4:55.780,4:57.420]  这个是。
[4:57.420,5:1.380]  这个是大家要注意的，发的话其实要快一点。
[5:1.380,5:7.680]  可能有个办法就是你可以在这个平台里面登录微信网页版。
[5:7.680,5:11.320]  反正我试了一下是可以登进去的，你们这些也可以试一下。
[5:11.340,5:15.320]  这样子就会快一点啊，就是微信网页版。
[5:15.320,5:21.280]  你扫码登进来的话，那你只要因为你你做完了肯定是先是在你的这个。
[5:21.280,5:25.280]  这个实验平台的这个本地嘛，那么你从这里直接就可以把它。
[5:25.280,5:26.200]  发出去了啊。
[5:26.560,5:28.040]  就是。
[5:28.100,5:31.420]  就关于这个实验啊，就是。
[5:31.560,5:33.220]  说这么多吧。
[5:34.000,5:35.240]  那么。
[5:35.340,5:39.380]  嗯，还有呢，就是关于考试啊考试的。
[5:39.380,5:40.200]  题型。
[5:40.200,5:46.560]  期末考试的题型就是单选、多选、简答和综合啊。
[5:46.560,5:48.460]  那么单选多选。
[5:48.460,5:49.380]  是50。
[5:49.620,5:52.380]  五五十分完了简答。
[5:52.720,5:58.660]  三十八一个综合题，其实也是类似问答的题啊，就更综合的问答题20分。
[5:58.660,6:0.200]  啊，是大概。
[6:0.200,6:2.500]  就是这样的一个。
[6:2.500,6:3.680]  一个分部啊。
[6:3.720,6:8.460]  那个单选多选里面啊，你们特别是前以前做的那个。
[6:8.460,6:13.300]  那个练习啊什么的还没做的呀，你赶快就去做完了啊那个肯定是。
[6:13.300,6:14.460]  有用的啊。
[6:16.040,6:17.140]  嗯。
[6:17.640,6:19.420]  好，那么。
[6:19.520,6:23.860]  下面我们就开始啊，就是这最后课，其实就是。
[6:23.860,6:28.600]  把各章啊给大家在整个就总结一下啊，来串一下。
[6:28.600,6:31.680]  就是看看这个，我们叫。
[6:31.680,6:35.100]  大数据计算基础嘛，啊那么我们。
[6:35.100,6:36.020]  嗯。
[6:39.540,6:40.780]  嗯。
[6:41.400,6:45.580]  先是这个大数据概述啊，第一张啊，那么。
[6:45.580,6:54.220]  它里面有其实就是引入了这个什么是大数据啊，大数据时代怎么到来的呀，这个发展的。
[6:54.220,6:56.680]  这么一些一些过程啊。
[6:56.680,6:59.300]  啊，在哪些领域有应用啊。
[6:59.300,7:2.060]  那么这张是一个。
[7:2.060,7:3.320]  就是。
[7:3.520,7:7.780]  破冰啊，大家建立概念的这么一张一个章节。
[7:7.780,7:9.560]  那在这里面啊。
[7:9.680,7:16.500]  比较注意的就是什么什么是大数据啊，那么它是用了这个思维啊，因为这个大数据也说过。
[7:16.500,7:18.240]  其实还是没有一个。
[7:18.240,7:21.000]  很精确的定义啊，但是起码有点大啊。
[7:21.000,7:22.540]  那么这个思维。
[7:22.540,7:26.560]  可以代表啊对这个大数据的一个感受。
[7:26.560,7:29.020]  我不知道现在学完这么多了啊但是。
[7:29.020,7:32.340]  大家对大数据是个什么东西，是不是？
[7:32.340,7:36.440]  基本上还是能有一定的这个概念了，一个这个事情。
[7:37.260,7:44.460]  这一个问题啊是不是有，有没有关于大数据啊，这个大家能做初步的这个判断了啊。
[7:44.460,7:50.820]  那么当然这个思维里面就是这个数据量大啊，种类繁多啊这是。
[7:50.820,7:54.780]  这是最基本的啊，就是他确实是大大到了。
[7:54.780,7:56.360]  这个程度当然。
[7:56.540,8:0.080]  不，不一样了，大家都都用过一个。
[8:0.080,8:3.320]  呃，就是各种电影都用过，就是大道。
[8:3.320,8:4.300]  嗯。
[8:4.300,8:9.200]  当前当然说那个定义的时候啊，其实就是传统的这个计算机。
[8:9.200,8:13.140]  传统的那种单机体系的这样的计算机。
[8:13.140,8:16.940]  是不能处理的这个程度啊大概是。
[8:16.940,8:20.100]  那么这个其实我们从从。
[8:20.100,8:22.600]  量级上来看啊就是。
[8:22.720,8:24.100]  嗯。
[8:25.220,8:33.580]  你可能得起码什么P的啊，什么什么P的啊，就是可能得到得到这样的这样的量级啊。
[8:33.580,8:34.720]  但是。
[8:34.720,8:36.600]  那个，呃。
[8:36.600,8:37.700]  处理的。
[8:37.940,8:44.660]  当然相应的，对这些东西要求处理的速度就就非常快啊，因为PRT这样的量级。
[8:44.660,8:48.720]  当然你现在说一个TB的这么一个数据啊。
[8:49.260,8:55.180]  那么其实你如果要求处理的很快的话，那么单击也是。
[8:55.180,9:1.080]  也是这个有问题的啊，因为我们学了这些应该知道啊，这个计算机。
[9:1.080,9:8.840]  他受他的这个就是cpu的能力啊，内存的能力啊，就是这些东西的这些制约啊那么。
[9:8.920,9:13.400]  我们当然希望通过这次的这个实验啊，大家对。
[9:13.400,9:14.180]  这个。
[9:14.200,9:15.340]  对一个。
[9:15.340,9:22.300]  Dan c能干多少事情啊，或者我不知道大家用了就是多少的方法去去去解决这个问题啊。
[9:22.300,9:27.280]  而我们给的那个实验平台，其实处理能力也并不并不大，他就是。
[9:27.280,9:31.660]  这三个节点嘛，就是就是，三个cpu，还一个要做管理的吗。
[9:31.660,9:34.600]  那么内存可能每个上面3G啊就是。
[9:34.600,9:38.160]  但是他写了很多的东西啊，分给你的。
[9:38.160,9:44.080]  能用的也是有限的，但是他起码把那如果你是在斯卡拉啊。
[9:44.080,9:44.940]  BOC。
[9:44.940,9:48.800]  而且贝斯而且被死，拿这个做这个可能有点。
[9:48.880,9:52.360]  难一点，我不知道有没有同事尝试拿去背死去。
[9:52.360,9:54.780]  就把它做做出来的那个。
[9:54.780,9:55.900]  就是。
[9:56.300,10:6.620]  就是，反正是他数据的量上和这个计算机处理能力上，那么这里是从这里定义的，其实这里也看出来，为啥人们拿这个来定义啊，他确实是。
[10:6.620,10:10.260]  跟你的这个这个数据，为什么大数据来了跟这个。
[10:10.260,10:11.900]  就是数据量和。
[10:11.900,10:15.480]  处理能力处理方法上不满足是相关的啊。
[10:15.480,10:23.240]  还有一个这个所谓的低密度啊低密度，这也是相对说的，为啥低密度数据量那么大，我们现在的处理能力。
[10:23.240,10:27.180]  有限啊，所以能挖出来的东西有限啊，那么。
[10:27.300,10:28.700]  嗯。
[10:28.720,10:33.640]  如果我们能挖出更多的东西来啊，密度就不低了，但是现状来说。
[10:33.640,10:41.160]  嗯，能挖出来的东西其实还是还是很有限的，换一个角度说，就是还有非常大的空间啊，让大家去。
[10:41.160,10:44.580]  从里面去找到新的方法，找到新的价值啊。
[10:45.220,10:53.460]  那么这个大数据整个这个概念里面还有一些啊，但是应用角度啊，他的分的层次啊这都。
[10:53.460,10:55.400]  我说这个层次实际上。
[10:55.400,10:57.160]  相当多的领域。
[10:57.300,11:4.580]  就是都是这样层次的啊，基础设施数据源，管理层分析，曾当然对大数据他特别就是。
[11:4.640,11:8.860]  嗯，这个分也有一定的特点啊，就是说分析层。
[11:8.860,11:11.340]  什么有平台层、应用层。
[11:11.780,11:13.620]  这是？
[11:13.620,11:15.300]  他的一些橙子方法。
[11:15.300,11:18.540]  那么还有就是这三者之间啊大数据。
[11:18.540,11:20.140]  呃。
[11:20.140,11:21.380]  云计算。
[11:21.380,11:24.140]  物联网啊，就是这三者之间。
[11:24.220,11:27.960]  的关系，其实它确实是这三者之间的这个比较。
[11:27.960,11:28.600]  就。
[11:29.260,11:32.580]  就是有有很多的相关性啊一件事情。
[11:32.580,11:36.600]  嗯，你说是是这个物联网的事。
[11:36.600,11:37.840]  也行是。
[11:37.840,11:46.200]  是大数据的也行，但是我不知道现在大家能不能分清楚我这样说的时候，这件事情到底是从云计算角度看。
[11:46.200,11:48.540]  还是从互联网角度看啊。
[11:48.540,11:49.960]  什么物联网？
[11:50.180,12:6.500]  当然大概这个时候物联网有这个充分的连接进来，他就是感知这个世界的东西嘛，就形成了这样的，这个这个大数据的这样的来源，当然倒过来物联网搞这么多数据进来，他也要大数据的这样的技术。
[12:6.500,12:10.860]  我搞进来才能存才能用啊，就是这样的一种关系。
[12:10.860,12:14.060]  而云计算来说，云计算的。
[12:14.060,12:22.860]  后面还也有专门的章节讲过云计算，核心是把这个东西放在云上，其实我们已经有体验了我们的实验平台。
[12:22.860,12:27.340]  就是这个，就是这样的云，他有一点点延迟啊但是。
[12:27.560,12:30.080]  其他方面来说确实还是。
[12:30.080,12:36.920]  还是很方便的，你像我们这次大数据给大家，哎我在里面，这都是云云里面的技术啦，我打好包了之后。
[12:36.920,12:40.000]  大家在一个账户进去就有这个数据了啊。
[12:40.880,12:47.680]  就这都是这个云计算的，当然云计算里面用的各种技术，他也是想法把。
[12:47.680,12:48.880]  各种的。
[12:48.880,12:52.120]  G就是大数据的处理、数据的技术。
[12:52.120,12:53.560]  在云计算里面。
[12:53.560,12:54.760]  这个用出来。
[12:54.760,13:1.740]  而当然云计算，但是首先核心就是对各种资源的管理，计算资源的这种管理啊这种。
[13:1.740,13:3.680]  分布啊，其实大数据。
[13:4.200,13:15.040]  的技术上，那么把各种计算资源能能用起来，能管理起来，这上面他也很多，其实就是用的和云计算。
[13:15.040,13:16.320]  一样的技术啊。
[13:16.360,13:29.240]  只是比如说有在场景上来说，因为云计算往往一定是在云上比别人提供给你云，提供给你舅舅，大概有这一点差别，你自己管一个实验室，把这些东西用起来，你也要用于类似的。
[13:29.240,13:31.280]  这个云的技术这些。
[13:31.280,13:34.380]  这些节点的加载管理啊，磁盘管理啊。
[13:34.380,13:36.900]  这些也是要用一些类似云的技术的。
[13:37.420,13:43.720]  大概就是这样的几层关系，这些以后在那个应用中也可以。
[13:43.720,13:46.780]  不断的再去体会啊，这三者之间的关系。
[13:47.860,13:49.980]  好，那么就是hadoop啊。
[13:50.100,13:52.540]  Hadoop的话是。
[13:52.820,13:58.100]  大数据就说过啊，说大数据最热的词，最那个啥的应该是啥。
[13:58.120,14:0.920]  就是我记得当时同学。
[14:1.200,14:2.320]  还没。
[14:2.460,14:4.900]  大哈，肚子还是，好像还没有啊。
[14:4.900,14:6.240]  现在应该要。
[14:6.240,14:8.660]  知道啊，就是卡杜甫，确实是。
[14:8.840,14:12.300]  在这个大数据领域是最核心的这样的。
[14:12.580,14:22.240]  其实它是一种思想，它相当于就开启了，因为原来计算机他也这么大的数据，他也不是也有各种方法也想着去处理啊。
[14:22.380,14:25.160]  但是油哈杜普开始。
[14:25.160,14:31.700]  什么事，我找到了一种方法，这个分布式的，这样的一种又比较好操作的。
[14:31.700,14:35.680]  啊又比较能结合起来的一种方法，然后大数据技术。
[14:35.680,14:36.600]  就。
[14:36.600,14:37.860]  不断的发展起来了。
[14:38.280,14:42.880]  那么这张图是相当于这个hadoop的啊，所谓的项目结构。
[14:42.880,14:45.540]  就是现在回头再看一眼啊因为。
[14:45.540,14:47.360]  刚开始一上来看。
[14:47.360,14:50.320]  那么多名词，那么多这个快快，那可能。
[14:50.320,14:51.720]  非常的晕虎啊。
[14:51.780,14:55.100]  我不知道，现在再看一眼是不是能更。
[14:55.100,14:56.840]  能更清楚一点了啊。
[14:56.840,15:2.160]  这个是存储的，这是资源呀，啊资源调度的，当然我们是卖不出deuce。
[15:2.160,15:4.940]  而且base啊这都是仔细讲过的。
[15:4.940,15:8.100]  那么还有这个害物啊害物就是。
[15:8.100,15:12.660]  在上面一层相当于数据分析，其实主要就是。
[15:12.660,15:14.700]  C口的一些支持的啊。
[15:14.700,15:18.960]  C口支持，有不同的努力嘛，还有这个p GE rp格式。
[15:18.960,15:21.460]  不是用C口，但是也是不适用。
[15:21.460,15:22.980]  用一个这个。
[15:22.980,15:23.720]  哎。
[15:23.720,15:28.860]  高级的一点的语言啊来来做啊，包括这个sock shop。
[15:28.860,15:32.160]  是在spa上来支持这个cpu。
[15:32.300,15:36.000]  那么当然核心的啊，计算的机制啊，这个有。
[15:36.000,15:39.480]  有这么mapreduce spark，我们都。
[15:39.480,15:42.040]  都仔细讲过，这是核心的处理机制。
[15:42.040,15:44.860]  还有这样一些词，弗罗姆日志啊，处理。
[15:44.860,15:50.080]  跟还有这个scoop，就是数据要导入啊，这是跟那个。
[15:50.080,15:51.880]  什么数据仓库啊。
[15:51.880,15:54.580]  和这些之间相关怎么把？
[15:54.820,15:59.120]  C口的数据导到这个哈弗体系里面啊，OK，我们。
[15:59.500,16:3.500]  讲的少，他居然教训像人的这个意思啊，怎么样？
[16:3.500,16:7.060]  这个可能还真没咋提过，他其实也是一个。
[16:7.060,16:15.640]  就是所谓的作业留啊，当然他现在放在这，他调度他可以跨不同的这样的平台来调度作业，更那个。
[16:15.640,16:22.120]  你要是简单来看这种作业，留的就是spot，他的那么一个计算过程，太子的一个计算过程。
[16:22.120,16:25.700]  就这么一个惦记图，也可以认为是一个作业留的过程。
[16:25.760,16:29.680]  这这就是我们的程序弄起来，其实你们自己做这个事情。
[16:29.680,16:34.160]  就会，现在我不知道会不会有体会，因为我们这次讲究速度吗？
[16:34.160,16:45.400]  讲求速度的话呢，我不知道你是在CA里面一行的去搞，还是晕一个脚本，这是一块，但还没那么玩呢，你那个数据从解包，你到把它加载到hadoop里面。
[16:45.400,16:47.400]  当然现在我估计啊。
[16:47.400,16:52.400]  你要有二字的话，那可能还能稍微快一点点，现在你起码往这个哈。
[16:52.400,16:55.340]  而且DFS里面加载你只能敲命令了。
[16:55.340,16:57.140]  你要用可能。
[16:57.140,16:59.040]  就是因为没有把那个。
[16:59.220,17:1.340]  岙仔可能还没有用起来啊。
[17:2.240,17:5.580]  这就是他，从体系上来说。
[17:5.600,17:9.840]  但是核心呢，我们还是要知道他是开启了这个大数据。
[17:9.840,17:19.280]  这个处理的这种这种框架，再说到这里面呢，就是关于哈杜普或者大数据的三驾马车啊，也提过几次。
[17:19.280,17:20.260]  这都是。
[17:20.260,17:21.800]  这个跨时代的。
[17:21.800,17:22.940]  呃，就是。
[17:22.940,17:28.000]  相当于大数据引领开始的，我们现在三驾马车，能不能迟到了。
[17:28.640,17:30.440]  说起来，这三驾马车。
[17:30.440,17:33.220]  都跟谷歌相关的，跟谷歌还对应的。
[17:33.220,17:33.940]  这个。
[17:34.000,17:35.200]  删掉吧，撤。
[17:36.760,17:39.940]  他其实就涉及到这个数据的这个。
[17:39.980,17:43.100]  对于这个处理的各个环节嘛啊。
[17:43.280,17:46.960]  这个HDS啊，首先是要分布式。
[17:46.960,17:50.280]  存储文件的存储对应的就是big table。
[17:50.280,17:52.140]  还有分布式处理啊。
[17:52.160,17:53.840]  还有这个。
[17:53.840,17:57.800]  然后还有就是分布式处理，就是map reduce啊。
[17:57.800,18:3.080]  那个还有一个就是这个HBS啊，他那边叫big table啊。
[18:3.080,18:5.000]  嗯，就是。
[18:5.000,18:5.980]  嗯。
[18:6.800,18:8.620]  就是这样的。
[18:8.780,18:15.060]  这三部主要对这个数据处理的几个方向都有咔哇，但是这三部。
[18:15.060,18:18.140]  他都是从谷歌这开创出怎么好？
[18:18.140,18:21.960]  进行分部啊来进行的这样的方式啊。
[18:21.980,18:23.240]  这是？
[18:23.240,18:24.680]  哈，杜埔他的。
[18:25.060,18:26.040]  特点啊。
[18:26.420,18:33.840]  那么这些之后啊，就是计入具体的这个啊，这些部件啊，就是这些技术环节。
[18:33.840,18:35.600]  那么就是HDFS。
[18:36.920,18:40.860]  HDFS是分布式文件存储啊。
[18:40.860,18:42.280]  那么。
[18:42.620,18:43.940]  我们。
[18:44.240,18:47.280]  看一下，实际上就是他可以存储。
[18:47.280,18:48.320]  非常。
[18:48.600,18:50.340]  大量的。
[18:50.520,18:53.200]  文件啊，包括这个文件。
[18:53.200,18:56.860]  嗯，等核心还是这个文件可以非常大啊。
[18:56.860,18:58.040]  那么。
[18:58.760,19:5.260]  嗯，那可能那记啊T啊，甚至一个文件PR都可以，他为什么能存得非常大，因为。
[19:5.260,19:10.360]  他就是一个分布式的框架，它是把这些文件分为了block啊。
[19:10.360,19:16.080]  再来传达，那么block的数目可以非常的多啊，当然你要处理大文件的时候。
[19:16.080,19:18.920]  呃，你你甚至如果你这个系统。
[19:19.600,19:22.900]  处理的都是比较大的文件，你block还可以画大一点。
[19:22.900,19:25.800]  让你的这个管理找block的这个寻址。
[19:25.820,19:29.400]  和会会更简单一点啊这是。
[19:29.400,19:30.780]  他的他就是。
[19:30.780,19:38.400]  实现了我能分布多个block这样一个框架，他为什么能做这个实际上文件分块的啊，我们也说过。
[19:38.700,19:43.160]  就是在现在的文件系统，他也是这么做的，他最后到的那个。
[19:43.160,19:50.480]  他那个叫叫什么散区啊，完了再在网上分，他也是这么分的，他为什么这样能做得好就是。
[19:50.480,19:52.540]  他把这一块搞得很简单啊。
[19:52.580,19:56.400]  那么但是呢，就把最核心的问题就能解决了。
[19:56.700,20:3.920]  这个HDFS，它能支持大数据，除了就是他这么能用block分部的方式。
[20:3.920,20:4.760]  能。
[20:4.760,20:5.580]  纯。
[20:5.580,20:8.800]  对应很大的文件之外啊，那么他还解决了。
[20:8.940,20:19.720]  从另一个角度，它是可以支持廉价的硬件啊，他就是对存储的，对计算机的这个要求不这么高，或者是说他是用他的这个备份的方式啊。
[20:19.760,20:21.000]  那么。
[20:21.000,20:23.080]  一般是默认三个备份吗？
[20:23.080,20:25.000]  用三个备份的方式。
[20:25.100,20:29.360]  使得因为因为本身硬件出这个的几率啊。
[20:29.360,20:31.920]  还是比较低的啊虽然是。
[20:32.220,20:34.660]  廉价的硬件会高一些，但是。
[20:34.660,20:39.980]  相对比较低，那么两个备份，就是他比万分之一两个备份，就是百万分之一。
[20:39.980,20:46.720]  他应该比万分之一还的啊，因为他处理的这个数据量非常大，三个备份那就是。
[20:47.360,20:49.780]  咱们多就就又多少多少分之一。
[20:49.780,20:51.540]  那么这样的这个。
[20:51.540,20:57.440]  呃问题举例使得它的硬件儿，而且它里面这些机制可能都相对是。
[20:57.580,21:0.180]  是可以自动的啊，哪里出了问题。
[21:0.180,21:4.020]  他就哪个block出了问题，他再复制一份出来。
[21:4.020,21:8.680]  就可以继续来来应用了啊，这是他的这个。
[21:8.700,21:12.280]  这个特点当然它本身也是。
[21:12.480,21:13.660]  这个。
[21:13.880,21:15.000]  就是。
[21:15.080,21:16.240]  呃。
[21:16.240,21:18.840]  体现了啊，就是。
[21:18.840,21:20.180]  嗯。
[21:20.180,21:28.860]  这种分布式管理的啊，这个或者框架或者这种结构模型啊，它它的这个结构模型实际上。
[21:28.860,21:33.700]  是也就是哈杜普最核心的这种模型啊，就这种主从模型。
[21:33.700,21:36.580]  有这个mast有slave嘛，当然不同的。
[21:36.580,21:39.060]  其实我们看到后面的各种的。
[21:39.060,21:45.280]  呃，实现方案在这个结构模型上都是类似这样的方式的啊，只不过。
[21:45.280,21:48.760]  呃每个方案上他可能就是具体。
[21:48.760,22:0.560]  这些模型的这个部件叫什么啊什么的，会会不一样啊，他的工作的过程也会不一样，因为还是有侧重的，但是它和新的想法还是一个中心的管理，然后。
[22:0.560,22:4.220]  把工作分给各个节点，这是一个。
[22:4.300,22:10.140]  在这个层面上的一个扁平的结构，那么我各个节点都是对等的，那对等的。
[22:10.140,22:13.040]  平等的，那么这些节点越来越多。
[22:13.040,22:15.900]  就可以这么水，这就水平扩展了。
[22:15.900,22:22.100]  那么在这个里面对他来说，就是就是叫名称节点和这个。
[22:22.100,22:23.140]  呃。
[22:23.140,22:27.220]  数据节点啊，就是那个带他node name node啊。
[22:28.100,22:32.180]  那么他也是用这样的结构啊，那么就使得。
[22:32.180,22:33.480]  他的就是。
[22:33.480,22:35.440]  支持这个大数据存储。
[22:35.620,22:38.160]  嗯，这个成为可能，这也是。
[22:38.180,22:40.860]  这个哈佛的基础，这也是。
[22:40.860,22:45.800]  这个分布式的这个机制的基础，这也是大数据处理的。
[22:45.800,22:47.340]  这种开端啊。
[22:47.760,22:52.580]  呃，当然它的访问啊，还有一些我们也涉及到，你是可以。
[22:52.580,22:54.620]  拿这个Java的这一些。
[22:54.620,22:57.780]  这些API来来来访问的啊，这是？
[22:58.640,22:59.920]  嗯。
[23:2.980,23:5.520]  这就是这个。
[23:6.000,23:8.120]  HDFS啊，那么。
[23:8.120,23:9.340]  这是他的。
[23:9.340,23:10.200]  核心的基础。
[23:10.840,23:19.220]  嗯，我们当时讲，后来是接待TFS，我们因为想把那个哈杜普的这个，呃核心的啊基础讲下来我们。
[23:19.820,23:25.620]  呃，讲的时候是从这就跳到这个map reduce去了啊，有文件存储了，那么就是。
[23:25.620,23:28.440]  那么就有对这个数据的核心处理机制啊。
[23:28.440,23:31.280]  这里我们顺着这个书上的章节来说啊。
[23:31.280,23:34.540]  现在我不这样打，我大家应该不会。
[23:34.540,23:39.780]  很小，因为而且base就是它相当于还要提供这个数据库的能力。
[23:39.780,23:44.520]  因为真正处理数据，把数据放在文件里面。
[23:44.520,23:45.600]  还是。
[23:45.600,23:49.980]  有限制的啊，那么我们就要把它放到这个。
[23:50.780,23:51.920]  嗯。
[23:52.260,23:54.780]  就呃，把它放到那。
[23:54.780,24:2.780]  就是要一定的用一定的数据库技术啊，把这些数据更好地组成组织起来，那么而且背死呢。
[24:2.780,24:3.680]  所以。
[24:4.160,24:9.720]  你的一个一个数据处理系统啊，就没有这一块肯定是不。
[24:10.100,24:12.280]  不完善的或者是不好用的啊。
[24:12.280,24:16.420]  所以为，他说这刚才说的三驾马车啊，就是文件能存住了。
[24:16.420,24:19.240]  由mapreduce他能处理了其实。
[24:19.240,24:22.420]  你索索有的是，你拿奶粉就死。
[24:22.560,24:26.680]  去干也完全不是说完全不能干啊，但是。
[24:26.700,24:30.060]  还是会很会很费劲啊，所以要有一个。
[24:30.060,24:31.500]  这个历史。
[24:31.500,24:37.880]  数据库的东西，实际上这就当C口了，因为后面还有专门讲那个no c口的这一部分。
[24:37.880,24:39.580]  在这里，其实也已经。
[24:39.580,24:43.740]  引进了啊，这个一定的这个no sequel的这个。
[24:43.760,24:47.120]  这个概念啊，那个。
[24:48.320,24:52.500]  那么对于h base来说呢，实际上。
[24:52.500,24:53.880]  他是。
[24:53.920,24:58.520]  他也是在那种分布式的框架上啊，那么来实现。
[24:58.520,25:0.040]  嗯，纯。
[25:0.040,25:1.640]  多个这个。
[25:1.640,25:2.380]  就是。
[25:2.380,25:7.640]  呃，陈非常大的数据量的啊这样的一个数据库。
[25:7.640,25:10.720]  那么其实它实现的思路基础上的思路。
[25:10.720,25:13.080]  也类似啊，你HDFS。
[25:13.080,25:19.140]  嗯，为啥能存的大，他就是把，当然他是把block那块这件华啊来。
[25:19.140,25:22.200]  来来做就是相当于文件分块。
[25:22.200,25:24.180]  这块儿来简化来做。
[25:24.180,25:27.460]  而这个H背死呢，它相当于是。
[25:27.460,25:29.360]  相当于是在那个基础上。
[25:29.360,25:36.200]  因为数据放在文件里和放在数据库里，其实最大的一个差别就是。
[25:36.200,25:37.920]  就是你的数据。
[25:37.920,25:42.200]  是不是可以比较方便快速查找，这其实就索引了啊。
[25:42.200,25:45.700]  那么就是有一定的这个索引方式。
[25:45.700,25:52.480]  按照一定的规律啊，把它数据放到文件里面去，这个是数据库做的。
[25:52.480,26:2.020]  但是这不发展的很那个，其实传统的这个关系型数据库，在这一块弄得已经非常那个，他为了把数据组织起来，有各种各样的方式，但是。
[26:2.020,26:4.820]  那快走到了，这个方式太复杂了。
[26:4.820,26:8.300]  那么使得它的这个分部呀什么。
[26:8.660,26:9.660]  不可以做。
[26:9.680,26:14.860]  不好做啊，那但是h base在这倒过来啊，我核心就是把这个数据。
[26:14.860,26:16.680]  我按照一个最。
[26:16.820,26:18.060]  相对。
[26:18.100,26:21.400]  简单的原则，我把它组织起来。
[26:21.580,26:22.700]  那么。
[26:23.380,26:27.400]  这样的话我就可以纯这个一个很大的这个。
[26:27.400,26:29.040]  呃这个数据啊。
