ID,Label,Email
143,ham,"Tonight? Yeah, I'd be down for that"
144,ham,Then she dun believe wat?
145,ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
146,ham,I need you to be in my strong arms...
147,ham,"Sorry, I'll call later"
148,ham,"Sorry, I'll call later"
149,ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
150,ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
151,spam,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost ?.50 min MobcudB more
152,spam,U are subscribed to the best Mobile Content Service in the UK for ? per 10 days until you send STOP to 82324. Helpline 08706091795
153,ham,Do u noe how 2 send files between 2 computers?
154,ham,Where's my boytoy? I miss you ... What happened?
155,ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
156,ham,When should I come over?
157,ham,"Hiya, probably coming home * weekend after next"
158,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
159,ham,Did he just say somebody is named tampa
160,spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls?/minmoremobsEMSPOBox45PO139WA
161,ham,I had askd u a question some hours before. Its answer
162,ham,"Not for possession, especially not first offense"
163,ham,U still havent got urself a jacket ah?
164,ham,Mm you ask him to come its enough :-)
165,spam,You have 1 new voicemail. Please call 08719181503
166,ham,Yup i've finished c ?there...
167,ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
168,ham,Booked ticket for pongal?
169,ham,Why don't you wait 'til at least wednesday to see if you get your .
170,ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
171,ham,Well i will watch shrek in 3D!!B)
172,ham,Get ready to put on your excellent sub face :)
173,ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
174,ham,Is xy in ur car when u picking me up?
175,ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
176,ham,"That's very rude, you on campus?"
177,ham,S but not able to sleep.
178,ham,Did u download the fring app?
179,ham,Yes fine 
180,ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
181,ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
182,ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
183,ham,Sent me de webadres for geting salary slip
184,ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
185,ham,In work now. Going have in few min.
186,ham,If I was I wasn't paying attention
187,spam,Congratulations YOU'VE Won. You're a Winner in our August ?000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
188,ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
189,ham,How much you got for cleaning
190,ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
191,ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
192,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
193,ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry 壽_ Head * ok but throat * wrecked. See you at six then!"
194,ham,I want to be there so i can kiss you and feel you next to me
195,ham,I know girls always safe and selfish know i got it pa. Thank you. good night.
196,ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
197,ham,Ofcourse I also upload some songs
198,ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
199,ham,Yeah but which is worse for i
200,ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
201,spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
202,spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
203,spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
204,ham,Have you always been saying welp?
205,ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
206,ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
207,ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
208,spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive ?000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
209,spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp ?.50/msg
210,ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
211,ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
212,ham,U coming 2 pick me?
213,ham,Are you the cutest girl in the world or what
214,ham,"Omw back to tampa from west palm, you hear what happened?"
215,ham,Also andros ice etc etc
216,ham,\Keep ur problems in ur heart
217,ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
218,ham,i cant talk to you now.i will call when i can.dont keep calling.
219,ham,Hey morning what you come to ask:-) pa...
220,ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
221,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
222,ham,ALRITE
223,spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(?.50p. m)
224,ham,And now electricity just went out fml.
225,ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
226,ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
227,ham,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
228,ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
229,ham,Quite late lar... Ard 12 anyway i wun b drivin...
230,ham,You said not now. No problem. When you can. Let me know.
231,ham,Just seeing your missed call my dear brother. Do have a gr8 day.
232,ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
233,ham,Yar else i'll thk of all sorts of funny things.
234,ham,K and you're sure I don't have to have consent forms to do it :V
235,ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
236,ham,Do we have any spare power supplies
237,ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
238,ham,Unless it's a situation where YOU GO GURL would be more appropriate
239,ham,"Sorry, I'll call later"
240,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
241,ham,"Now, whats your house # again ? And do you have any beer there ?"
242,ham,I know she called me
243,ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish 
244,ham,K..k..i'm also fine:)when will you complete the course?
245,spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
246,ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?"
247,ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
248,ham,Yo dude guess who just got arrested the other day
249,ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DON逭T LIKE ME LIKE THAT SO DON逭T WORRY."
250,ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
251,ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
252,ham,Ard 6 like dat lor.
253,ham,Or i go home first lar ?wait 4 me lor.. I put down my stuff first..
254,ham,Come to my home for one last time i wont do anything. Trust me.
255,ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
256,ham,I dunno until when... Lets go learn pilates...
257,spam,"Latest Nokia Mobile or iPOD MP3 Player +?00 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.?,50/Mtmsgrcvd18+"
258,ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
259,ham,I wont. So wat's wit the guys
260,ham,WHORE YOU ARE UNBELIEVABLE.
261,ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
262,ham,Probably earlier than that if the station's where I think it is
263,ham,Noice. Text me when you're here
264,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
265,ham,Aiya we discuss later lar... Pick ?up at 4 is it?
266,ham,K... Must book a not huh? so going for yoga basic on sunday?
267,ham,Aiyah ok wat as long as got improve can already wat...
268,ham,Hey... Very inconvenient for your sis a not huh?
269,spam,"Final Chance! Claim ur ?50 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. ?.00 Subs 16"
270,ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
271,ham,Dunno he jus say go lido. Same time 930.
272,ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
273,ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
274,ham,Shhhhh nobody is supposed to know!
275,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
276,ham,"\Pete can you please ring meive hardly gotany credit\"""""
277,ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
278,ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
279,ham,U sure u can't take any sick time?
280,ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
281,ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
282,ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT"""
283,ham,Me i'm not workin. Once i get job...
284,ham,Ranjith cal drpd Deeraj and deepak 5min hold
285,ham,Just sleeping..and surfing
286,ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
287,ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
288,ham,How do you guys go to see movies on your side.
289,ham,See? I thought it all through
290,ham,No plans yet. What are you doing ?
291,ham,Will you come online today night
292,ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
293,spam,"Ur balance is now ?00. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
294,ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
295,spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
296,spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
297,ham,You got called a tool?
298,ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
299,ham,I'm at work. Please call
300,ham,If he started searching he will get job in few days.he have great potential and talent.
301,ham,"K, text me when you're on the way"
302,ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
303,ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
304,ham,Oh k :)why you got job then whats up?
305,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
306,ham,Dude got a haircut. Now its breezy up there
307,ham,I not free today i haf 2 pick my parents up tonite...
308,spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
309,ham,i felt so...not any conveying reason.. Ese he... What about me?
310,ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
311,spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
312,ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
313,ham,Oh my God. I'm almost home
314,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
315,ham,I havent add ?yet right.. 
316,ham,No messages on her phone. I'm holding it now
317,ham,If you are not coughing then its nothing
318,ham,"Hm good morning, headache anyone? :-)"
319,ham,I liked your new house
320,ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
321,ham,"Its good, we'll find a way"
322,ham,"No, I was trying it all weekend ;V"
323,ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
324,ham,Dont put your phone on silent mode ok
325,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
326,ham,I'm always looking for an excuse to be in the city.
327,ham,Hey whats up? U sleeping all morning?
328,ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
329,ham,Oh ho. Is this the first time u use these type of words
330,spam,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\"""""
331,ham,Lol boo I was hoping for a laugh
332,ham,Pls come quick cant bare this.
333,ham,No..its ful of song lyrics..
334,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
335,spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
336,ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
337,ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
338,ham,Hi good mornin.. Thanku wish u d same..
339,spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A?.50 minAPN LS278BB
340,ham,"Sorry,  in meeting I'll call you later"
341,ham,"Did you say bold, then torch later. Or one torch and 2bold?"
342,ham,Well she's in for a big surprise!
343,ham,S...i will take mokka players only:)
344,ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
345,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""""
