content,creationTime,score,userClient,productColor,productSize,referenceTime,nickname,days
送货速度超级快，1T存储棒棒哒?，信赖京东自营苹果，一直在这里购买水果产品，希望京东自营苹果越来越好！,2023-03-16 16:59:01,5.0,2.0,金色,1TB,2023-03-12 07:52:08,星***靓,4.0
"外形外观：13promax的外观非常漂亮，基本上快买不到了，尤其是石墨色很经典，很大气
屏幕音效：屏幕很顶很舒服很清晰，音效非常好
拍照效果：有史以来最大的光圈，虽然像素只有1200，不过实际效果非常出色，绝对是第一梯队
运行速度：永远不用怀疑ios的流畅度
待机时间：有史以来苹果手机续航最好的手机，没有之一
其他特色：价格这么顶是有原因，趁着还能买到，真的非常值得买一台，满星推荐！",2023-03-18 19:19:02,5.0,2.0,石墨色,1TB,2023-03-12 01:04:11,一***主,6.0
"外形外观：好看！！！白色永远的yyds，不过黑色应该也挺不错，看大家喜好，手感是真的好，细磨砂。
屏幕音效：屏幕观感和上代差不多，但是高刷屏带来体验上质的飞跃是比不了的
拍照效果：1200w拍出来的效果比某些5000w还好
运行速度：很快，这是ios的优势
待机时间：非常长，iPhone 13promax的续航是出了名的粗长
其他特色：苹果手机在京东买值得信赖。",2023-04-08 22:04:17,5.0,4.0,苍岭绿色,256GB,2023-02-08 15:54:01,j***n,59.0
AppleiPhone13Pro收到了，一直就想换手机，看到活动就购买了，这个13真的太香了。苍岭绿色是我最喜欢的了，13系列的顶配款，所持有的配置也是最高的，结合更大的屏幕展现，体验了是真的不错！顶级屏幕显示效果很棒，上了高刷感觉更丝滑，拍照很稳，特别是夜拍成像速度比上代快，真的非常喜欢！A15芯片加持，速度是非常流畅的。这个音响效果很好，喜欢音乐可以考虑一下，真的非常棒的！屏幕大，摄线头更大，而且在配上苍岭绿，简直绝了，满满的视觉冲击力，颜值真的太高了！屏幕分辨率高，手机够大够薄，系统流畅自然，运行速度快，音乐外放效果不错。摄像头拍照清晰，后期自动调节，相片更清晰，运行速度永不卡顿，512G大容量没得挑。适应高刷屏幕、续航是感知最明显的三个变化，非常喜欢这个手机，电池续航能力强！打开软件的速度特别快，过度动画效果特别好，非常满意！,2023-03-03 14:45:50,5.0,4.0,苍岭绿色,256GB,2023-02-28 18:43:48,D***风,3.0
品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！物美价廉，物流给力，值得回购已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了很好看，制作工艺很精美，材质也很好！给个赞！特别满意，好评必须好评这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买收到货后试了一下，很不错，质量很好，值得拥有！五星好评！,2023-03-06 21:57:06,5.0,4.0,苍岭绿色,256GB,2023-03-06 10:35:44,j***f,0.0
"外形外观：外观硬朗大气
屏幕音效：屏幕可以说非常完美
拍照效果：拍照清晰，防抖功能特别好
运行速度：iOS的系统加上A15处理器展现的非常给力
待机时间：待机时间特别棒，比14系列还要强
其他特色：手机确实挺好，一台去年12月30入手512G的，同时两台一模一样的，配置也一样，不知为什么屏幕一个白一个黄。新机完全可以说非常放心使用，两台机子同时使用，另一台用了三个月，电池98%，可以说很好了，总之iPhone做的确实很完美。另外快递非常快，京东自营有保障，，快递员服务态度很好，很有耐心，相信京东",2023-03-18 23:15:01,5.0,4.0,银色,512GB,2023-03-18 00:10:18,龍***子,0.0
"Apple iPhone 13 Pro Max手机收到了，120HZ高刷，流畅度杠杠的，体验感特别棒，iPhone13PROMAX高端大气！超级好用。iOS系统流程，高刷新率！银色超级好看。非常不错，苹果手机本身性能优良，做工无瑕疵，屏幕和摄像头都没出现网上说的各种缺陷。新摄像头效果较之前型号有极大提升，微距拍摄效果极佳，视频稳定性一如既往的出色。高刷屏幕在支持的软件内效果明显。最明显的提升在于电池续航，明显的提升很多。外观无瑕疵，送货外包装也无磕碰。抢新的AC+很值。收到手机后，拆开包装盒，看到心仪已久的新iPhone13ProMax后，很惊艳，特别喜欢，手机拿在手里分量也能接受，手感很好，没有出现硌手的情况，120HZ的高刷屏看着很舒服，王守义的十三香真的很香，喜欢的朋友赶紧入手，物有所值，值得拥有。早买早享受。手机较大,A15芯片操作非常顺滑,续航能力强。支持电影模式。120hz自适应刷新屏幕,用了就回不了!就是看重 max 的大屏幕,大电池，续航好。号称苹果最强相机的13 pro max ,机身重量可以接受&rdquo;,我抢到的是256g内存,完全够我用了",2023-03-13 07:46:39,5.0,4.0,银色,512GB,2023-03-10 11:18:57,随***6,3.0
这款手机运行速度很快,2021-10-25 12:31:08,3.0,4.0,银色,256GB,2021-10-06 13:44:41,Z***8,19.0
除了外包装盒上有一点胶，其他的可以称得上完美。仔细检查过外观，没毛病，开机激活，整个一真香警告。爱了爱了。,2023-04-14 21:54:33,5.0,4.0,苍岭绿色,512GB,2023-04-08 10:26:00,兰***人,6.0
"终于收到手机啦，查询了是原装正品的，很喜欢！
通话音质:   通话质量很好，没有出现杂音 
其他特色：手感略重，直角边有点隔，没有出現过卡顿的现象，使用起来很流畅 
显示效果：显示效果很好，没有不适感，眼睛也没有感觉到不舒服
卡槽那里有划痕！边框又没有缝隙，前后摄又没有灰，矛盾的接受了...虽有小瑕疵，整体还可以！",2023-02-22 08:56:20,5.0,4.0,银色,512GB,2022-12-12 16:41:48,雪***i,72.0
用了几个月了，没有什么问题，除了刚开始，微信信息不提示不弹出，还是自己删掉了所有专注模式之类解决的，按照客服的说升级版本，一系列操作并没有什么用，微信收取中最鸡肋，这一点是通病吧，没办法，其他系统流畅，拍照也挺好，对于我来说，可以了，就是想买pro的，可是没有现货，停产了，买了max，单手操作比较不友好，其他挺好，大屏幕，也有它的好嘛，操作习惯了都，不去拿6.1的就好，每次拿了6.1的再拿我的，就会有点大，哈哈哈?音效比我之前的手机好，我喜欢它的设计，反正我喜欢，第一台苹果，现在一台安卓，一台苹果，挺好！,2023-03-29 11:40:01,5.0,2.0,银色,512GB,2023-01-31 00:08:26,摩***呀,57.0
还在体验，刚打开，买的手机膜坏了，先贴一个。买家补发。一直都用的苹果手机。感觉应该还可以吧，还在更新，下载软件。还在下载，刚开始下载感觉不快那。完美。。希望用一阵子。买了个512内存。,2023-03-11 20:19:24,5.0,2.0,远峰蓝色,512GB,2023-03-10 21:36:55,l***3,1.0
第一次在京东购买手机电子产品，之前还是很顾虑，收到货后商品和质量目前没有发现问题，后续表现值得期待，以后还会继续选择。,2023-03-23 19:09:38,5.0,4.0,苍岭绿色,512GB,2023-03-16 11:34:21,u***g,7.0
"国行正品手机，很不错。颜色也好看，很喜欢
运行速度：很快
拍照效果：真实
屏幕音效：很棒
外形外观：好看，大气",2023-04-02 14:09:00,5.0,2.0,苍岭绿色,512GB,2023-03-28 20:58:22,林***3,5.0
"运行速度：非常快即使是一年多前的机器也丝毫不输14
待机时间：无可挑剔 电池杠杠的
拍照效果：苹果原相机很棒",2023-03-04 19:48:37,5.0,2.0,银色,512GB,2023-03-03 21:09:48,W***7,1.0
"用着还可以吧，电没有想象的耐用，绿色其实挺好看的，就是appstore一直无法登录appleid,搞了3天，升级了系统补充了资料才好，其他的用过以后再追评吧",2023-03-31 23:53:52,4.0,4.0,苍岭绿色,512GB,2023-03-27 18:12:04,k***y,4.0
"外形外观：颜值很高，绿色真的很好看
屏幕音效：音效真的可以
拍照效果：拍照yyds
运行速度：运行速度很快
待机时间：待机时长操作少的话一天不在话下",2023-01-11 18:17:54,5.0,4.0,苍岭绿色,256GB,2022-11-11 22:01:37,多***-,61.0
电子产品 必须京东自营 官方进货渠道 品质保证 京东商城 物流省心 售后放心 家里小到剃须刀 手机 大到电冰箱 洗衣机 彩电 全都在京东商城网购 遇上活动价 价格低到你梦里笑出声 五星好评,2022-12-28 21:16:05,5.0,2.0,石墨色,1TB,2022-11-21 08:34:22,F***0,37.0
"终于把梦寐以求的iPhone 13 ProMax买到手了，很开心呢。
外形外观：外观时尚大方，很有质感。
屏幕音效：屏幕色彩很鲜艳，清晰细腻。
拍照效果：拍照清晰，照片细节满满，尤其是录像这方面很nice！
运行速度：流畅，丝滑。
待机时间：从早上出门到晚上回家还有很多电。",2022-11-23 13:31:39,5.0,4.0,苍岭绿色,128GB,2022-11-20 11:43:21,d***b,3.0
跟14pro max对比后，还是选择购买13pro max，特别喜欢这颜色，到手后果然没失望，选择双11期间购买，价格优惠！！！,2022-12-25 15:26:30,5.0,2.0,苍岭绿色,128GB,2022-10-31 21:35:23,j***z,55.0
质量非常好，与卖家描述的完全一致，非常满意，真 的很喜欢，完全超出期望值，发货速度非常快，包 装非常仔细、严实，物流公司服务态度很好，运送 速度很快，很满意的一次购质量很好，希望更多的 朋友信赖．店主态度特好，我会再次光顾的，可不 可以再便宜点，我带朋友来你家,2023-01-18 10:01:16,5.0,2.0,苍岭绿色,128GB,2022-11-25 14:25:22,卡***0,54.0
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，有需要会再次光临的。",2023-01-11 20:34:52,5.0,4.0,苍岭绿色,256GB,2022-12-15 14:59:28,夜***2,27.0
用了一段时间终于评价了，确实还是一如竟往的好，从手感到运行速度，都是极佳的，一直心心念念的，终于攒够钱买了，开心,2022-12-12 21:48:09,5.0,4.0,苍岭绿色,128GB,2022-11-14 15:14:39,彡***氵,28.0
一直在纠结要不要换手机，13还是14，最后还是决定换，又喜欢绿色。买了13，还是喜欢大屏。绿色果然是我最爱的颜色。质感不错??一起买了绿色的壳。希望后面继续出绿色的,2022-12-02 20:28:00,5.0,2.0,苍岭绿色,256GB,2022-10-31 20:41:52,u***x,32.0
"自从出了京东后，几乎不用淘宝，京东自营你值得信赖，2023新手机，因为个人觉得14不太喜欢没啥提高吧，所以还是选择了13Pro max非常感谢京东客服的耐心解答跟解决问题。希望不断改进别退后
待机时间：很给力
其他特色：苍岭绿色是13Pro max独有很有辨识度",2023-01-04 23:54:03,5.0,2.0,苍岭绿色,256GB,2023-01-02 18:28:41,u***o,2.0
上个手机出现了闪屏质量，通过跟京东客服勾通，客服态度很好，很快给解决了问题，这个手机是客服给新换的，来的时候没电，第一次充满电，使用了一天目前还没有发现啥问题，希望这个手机能给我带来不错的体验。,2022-11-23 05:52:19,5.0,4.0,苍岭绿色,128GB,2022-10-20 17:28:34,j***D,34.0
"外形外观：是我最爱的远峰蓝哦，终于又到货了，颜色比紫色好看多了
屏幕音效：屏幕大大的，我只买这么大的
拍照效果：拍照效果超级棒，我已经用了一年半，这次是换1T的，我不喜欢14promax灵动岛
运行速度：运行速度棒棒哒，不比14差",2023-02-16 07:02:52,5.0,2.0,远峰蓝色,1TB,2023-02-14 21:18:38,超***哈,2.0
"太棒了！用了一个多月再来评价，手机到手完美，没有网上说的那些问题
屏幕音效：顶级屏幕显示效果很棒，上了高刷感觉更丝滑
拍照效果：拍照很稳，特别是夜拍成像速度比上代快",2022-11-29 14:55:14,5.0,2.0,苍岭绿色,256GB,2022-10-10 10:40:04,L***8,50.0
拍照效果：拍照片有绿点,2021-11-21 13:16:19,3.0,2.0,金色,256GB,2021-11-15 09:09:28,j***6,6.0
苹果13pro外观好看，手感非常舒服，不管是拍照和音声效果都是很好，手机运行速度很快，没有卡顿现象。京东购物，产品质量保证，不担心劣质产品，这点非常值得信赖。物流速度非常非常快，服务态度非常满意。,2022-12-11 20:33:58,5.0,2.0,苍岭绿色,128GB,2022-12-03 20:06:15,j***3,8.0
手机电池可以用一天，对于苹果续航算是可以的了，手机运行非常顺畅，120刷新率对比往代有非常非常大的提升远峰蓝色在阳光下特别 美，非常喜欢,2022-11-21 21:51:39,5.0,2.0,远峰蓝色,256GB,2022-11-18 10:57:51,F***翁,3.0
东西很好，质量不错，快递也很快，一次满意的购物。。。。。。。东西很好，质量不错，快递也很快，一次满意的购物。。。。。。。,2022-12-01 18:05:16,5.0,4.0,苍岭绿色,256GB,2022-10-15 20:04:50,j***、,47.0
京东自营品质有保证，iPhone13promax还是非常好的，各方面对比都比14香。仁者见仁，智者见智吧。远峰蓝颜色认为是比较好看的,2022-12-18 15:58:15,5.0,2.0,远峰蓝色,1TB,2022-11-21 16:31:34,天***范,27.0
"外形外观：霸气外露，手感极佳
屏幕音效：好的音效，入耳即知
拍照效果：光感可圈可点，色彩逼真
运行速度：一流速度，一流感受
待机时间：一天一充",2022-11-21 16:09:46,5.0,4.0,苍岭绿色,256GB,2022-11-14 22:08:27,a***9,7.0
"不太爱评价，但这个是真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！
感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手",2023-01-19 22:42:35,5.0,4.0,苍岭绿色,512GB,2023-01-05 22:36:10,j***0,14.0
真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。,2022-12-23 20:04:04,5.0,2.0,苍岭绿色,512GB,2022-11-19 00:27:41,乌***晏,34.0
高品质耐用，金色颜值经典又温暖，电池续航给力，除了信号与办公不太便利，确实是备用机的主力机，争取用到17出来再让他退役,2023-02-13 19:29:25,5.0,4.0,金色,512GB,2023-02-12 15:38:49,哈***8,1.0
"可以的
外形外观：不错，挺好看的，这么可以！！
屏幕音效：看起来可以，不错。下次还买，真的挺好看！
拍照效果：挺好看的，真的。
运行速度：不错加油
待机时间：五星好评！",2022-11-18 23:27:47,5.0,2.0,苍岭绿色,256GB,2022-09-18 22:12:55,j***z,61.0
"外形外观：一如既往的踏实安定
屏幕音效：屏幕干净通透明亮
拍照效果：拍照清晰明了
运行速度：运行速度快捷便捷
待机时间：待机时间长，买它就是看中待机时间足够长
其他特色：对于十三是情有独钟，尤其是它的安全。
一如既往，这两年换了几个买了几个还是13pro Max，希望给大家能够提供帮助。",2022-12-04 18:27:33,5.0,2.0,远峰蓝色,1TB,2022-12-01 17:49:16,竹***8,3.0
"外形外观：没什么创新 
屏幕音效：音效还是一往即如的好
拍照效果：三颗摄像头还是给力的加上苹果的算法 几乎是无敌的状态
运行速度：买系统送硬件，用个3年没问题

 14挤牙膏升级真的不多，还是13pro max更香",2022-11-25 19:40:39,5.0,4.0,苍岭绿色,256GB,2022-11-21 13:02:39,d***5,4.0
"外形外观：很有质感，很高级
屏幕音效：非常不错
拍照效果：很清晰
运行速度：流畅顺滑
待机时间：续航真顶",2023-02-05 10:52:05,5.0,4.0,苍岭绿色,256GB,2023-01-31 21:19:18,j***V,5.0
"外形外观：经典外观，手感不咋滴，练就麒麟臂，就苍岭绿有现货，颜色质感不错，就是第一次开箱这手机发现了点小瑕疵，然后很快就走售后换货了，换完很完美，
屏幕音效：自适应高刷操作着很丝滑，回头用13就感觉动画卡卡的，13pm屏幕开高亮度黑色部分发绿不知道是不是都这样，问题不大
拍照效果：镜头上算是完整了，拍照效果就还行吧，不爱好摄影
运行速度：当然是丝滑流畅
待机时间：WiFi 使用很持久
苹果的老毛病，用流量真不如安卓手机?",2022-12-16 16:17:10,5.0,2.0,苍岭绿色,256GB,2022-10-16 17:56:31,-***-,61.0
AppleiPhone13Pro收到了，一直就想换手机，看到活动就购买了，这个13真的太香了。苍岭绿色是我最喜欢的了，13系列的顶配款，所持有的配置也是最高的，结合更大的屏幕展现，体验了是真的不错！顶级屏幕显示效果很棒，上了高刷感觉更丝滑，拍照很稳，特别是夜拍成像速度比上代快，真的非常喜欢！A15芯片加持，速度是非常流畅的。这个音响效果很好，喜欢音乐可以考虑一下，真的非常棒的！屏幕大，摄线头更大，而且在配上苍岭绿，简直绝了，满满的视觉冲击力，颜值真的太高了！屏幕分辨率高，手机够大够薄，系统流畅自然，运行速度快，音乐外放效果不错。摄像头拍照清晰，后期自动调节，相片更清晰，运行速度永不卡顿，512G大容量没得挑。适应高刷屏幕、续航是感知最明显的三个变化，非常喜欢这个手机，电池续航能力强！打开软件的速度特别快，过度动画效果特别好，非常满意！,2022-07-20 21:24:09,5.0,4.0,苍岭绿色,512GB,2022-06-15 10:59:54,旺***3,35.0
"我怀着激动的心情开箱了iPhone拾叁pro Max，刚拿到包裹的时候，打开，他是一个四方形的纸盒里面包裹着充气泡沫，你好，上下有两个防盗拉链，防盗拉链被拉开后这个手机他就确定我是第一个打开的人了，打开包装之后，我看到了他的生产地址是美国加利福尼亚，手机是双卡双待的，这款手机他的处理速度特别快进入系统之后，他要更新一下更新花了5分钟，这个手机他会比iPhone 11 pro Max大一些，我特别满意京东的这种正品，保证他的防盗他的防第三方拆开的设计非常的科学，我希望这台手机能够陪伴我很久很久这个手机他是橄榄绿的特别适合喜欢露营的人也特别适合喜欢军营迷彩的人，手机的屏幕特别的亮，手机的音效比iPhone 11 Pro Max更好，有一种掌上电脑的感觉，他的手感就是不锈钢的手感分量很重，他的摄像头也做得比以前大了三颗摄像头，他的拍摄效果非常棒，特别是他的前置摄像头前置摄像头已经做到千万级别的了他要他人脸识别的速度非常快，马上把自动升级给他关掉了
外形外观：不锈钢航空铝合金
屏幕音效：有电影院的音响的那种杜比质感
拍照效果：拍照效果非常清晰，特别是前置摄像头和后置摄像头是一样清晰适合视频会议
运行速度：响应速度非常快，非常好，非常满意京东",2023-03-11 15:27:24,5.0,2.0,苍岭绿色,512GB,2023-03-09 13:39:09,a***7,2.0
"外形外观：屏幕大，摄像头更大，比较有视觉冲击力，直边框按钮没有圆形好按，特别是带了保护壳后，静音键特别不好按
拍照效果：日常使用完全没问题
运行速度：最新处理器，6G运存，配合自适应刷新，很流畅
待机时间：最明显的提升，也是选择这款的一个比较大的原因
其他特色：从4G转过来，5G使用体验不错信号比xsmax有提升",2022-02-15 20:35:24,5.0,2.0,远峰蓝色,256GB,2021-12-31 20:04:11,l***o,46.0
"Apple iPhone 13 Pro Max手机收到了，120HZ高刷，流畅度杠杠的，体验感特别棒，iPhone13PROMAX高端大气！超级好用。iOS系统流程，高刷新率！银色超级好看。非常不错，苹果手机本身性能优良，做工无瑕疵，屏幕和摄像头都没出现网上说的各种缺陷。新摄像头效果较之前型号有极大提升，微距拍摄效果极佳，视频稳定性一如既往的出色。高刷屏幕在支持的软件内效果明显。最明显的提升在于电池续航，明显的提升很多。外观无瑕疵，送货外包装也无磕碰。抢新的AC+很值。收到手机后，拆开包装盒，看到心仪已久的新iPhone13ProMax后，很惊艳，特别喜欢，手机拿在手里分量也能接受，手感很好，没有出现硌手的情况，120HZ的高刷屏看着很舒服，王守义的十三香真的很香，喜欢的朋友赶紧入手，物有所值，值得拥有。早买早享受。手机较大,A15芯片操作非常顺滑,续航能力强。支持电影模式。120hz自适应刷新屏幕,用了就回不了!就是看重 max 的大屏幕,大电池，续航好。号称苹果最强相机的13 pro max ,机身重量可以接受&rdquo;,我抢到的是256g内存,完全够我用了",2022-01-07 16:07:05,5.0,4.0,远峰蓝色,128GB,2021-11-05 13:14:50,j***p,63.0
"外形外观：好看！！！白色永远的yyds，不过黑色应该也挺不错，看大家喜好，手感是真的好，细磨砂。
屏幕音效：屏幕观感和上代差不多，但是高刷屏带来体验上质的飞跃是比不了的
拍照效果：1200w拍出来的效果比某些5000w还好
运行速度：很快，这是ios的优势
待机时间：非常长，iPhone 13promax的续航是出了名的粗长
其他特色：苹果手机在京东买值得信赖。",2022-08-05 19:23:43,5.0,2.0,银色,256GB,2022-06-11 23:01:30,荡***月,55.0
"一直很信赖的苹果，等了很久256无货。果断选512内存。
很有意义的数字13也算是信仰吧！
续航：4G网络一整天工作带玩到晚上还有余电。5G一般到晚饭。正常微信电话刷刷视频，待机2天多点。
反应：各种APP打开快捷
音质：放音乐比我手里那部XS MAX音量高一半音质也提升很多
重量明显感觉重，四方不易拿，尤其从口袋掏出来生怕掉下去
游戏本人王者多点，正常发热，很流畅。最好电量多玩，尤其快充边充边玩很热。
信号还是一如既往，第一次使用5G。刷视频看剧更新APP都超了，建议流量不多的小伙伴还是提前无线下载，避免额外的话费。",2023-04-27 10:06:16,5.0,2.0,银色,512GB,2023-03-11 22:54:07,流***0,47.0
还好吧，用段时间再看看吧,2021-11-26 22:34:54,3.0,2.0,银色,128GB,2021-11-26 10:02:41,j***T,0.0
"外形外观：外型外观很好看，很有质感，金色实物很漂亮。检查了一遍非常完美，没遇到缝隙大的问题。
屏幕音效：屏幕非常清晰细腻，音效很棒！
拍照效果：拍照效果很好，照片很清晰。
运行速度：iOS15运行速度没得说，反应超快。
待机时间：待机时间很长，用一天还有百分之五十多的电，轻度使用两天一充没问题。
其他特色：京东官方自营旗舰店值得信赖，物流速度也非常快！",2022-01-28 15:34:12,5.0,4.0,金色,256GB,2022-01-26 18:29:53,H***1,2.0
远峰蓝真的很漂亮，浅蓝色在阳光下会有类似于深灰色的质感。不锈钢边框很闪亮。很喜欢这种蓝色，比12pro上的海军蓝浅一点。类似于银色和天蓝色混合的感觉。背面的雾面玻璃不容易粘指纹，手机很顺滑，用起来很好。屏幕清晰拍照也很给力。夜晚表现比13mini强太多。,2022-08-14 17:16:16,5.0,2.0,远峰蓝色,256GB,2022-08-05 08:59:35,纯***判,9.0
"外形外观：外观方正，棱角明显，很端正
屏幕音效：音量很给力，音质清晰无杂音
拍照效果：拍照清晰真实
运行速度：苹果的系统很流畅，没有卡顿
待机时间：待机是本机最值得表扬的，一天半没问题
其他特色：第一个iPhone是7plus，从用手机开始一直是三星，这是第二个苹果，也是备用机，效果非常好，非常满意",2023-01-01 00:57:06,5.0,4.0,银色,512GB,2022-12-30 00:35:44,龍***子,2.0
"外形外观：直角边框经典设计，手感非常好。不锈钢边框很有质感
屏幕音效：iPhone屏幕一如既往的优秀顶级显示效果，加入了自适应屏幕高刷新率更丝滑了
拍照效果：加大的摄像头模组拍照更优秀了，新加入的电影?效果模式。再次领先行业
运行速度：流畅无比
待机时间：超长待机时间，加大电池续航再次增加",2021-11-22 19:47:21,5.0,4.0,远峰蓝色,256GB,2021-11-19 10:10:50,旧***8,3.0
发货很快，第二天就收到货了，迫不及待的打开手机使用，没有任何问题，屏幕尺寸很大，玩游戏看电影都很过瘾，电池很耐用，拍照清晰，功能很强大！,2022-08-09 10:14:42,5.0,2.0,远峰蓝色,512GB,2022-08-02 07:31:45,1***a,7.0
"外形外观：13Promax远峰蓝你值得拥有 哈哈 颜色太好看了吧  喜欢
屏幕音效：屏幕刷新率很高，音效超级棒
拍照效果：随随便便一拍就能拍出大片的感觉，像素超级赞
运行速度：很快
待机时间：超长，电池续航太给力了
其他特色：一点都不卡顿，屏幕丝滑流畅，太喜欢了，屏幕很大很清晰，很赞很赞 推荐购买",2022-07-29 16:56:36,5.0,4.0,远峰蓝色,256GB,2022-07-27 14:12:18,J***子,2.0
"送货很快，20号下单，21号就到了??，操作下来丝滑手感，就是打游戏很发热手机通病
外形外观：好看，是我爱的蓝色
屏幕音效：nice~
拍照效果：清晰
运行速度：流畅
待机时间：打游戏几小时，不打游戏一天半左右",2022-08-23 02:29:26,5.0,4.0,远峰蓝色,512GB,2022-08-20 19:05:20,j***t,3.0
都用了好久才想起来评价，13是真的香呀，拍照自带背景虚化功能，拍视频特别是那个电影模式，自带大片感觉。运行很流畅，玩游戏几个小时电池还剩一半，续航是真的棒呀！机器很薄，整体用下来总之就是香！拍照拍照绝绝子！京东大品牌有保障，所有苹果系列电话，平板都是京东买的。,2022-09-02 18:30:36,5.0,2.0,苍岭绿色,256GB,2022-07-07 20:30:48,u***y,57.0
"外形外观：用了一个多月再来评价，手机到手完美，没有网上说的那些问题
屏幕音效：顶级屏幕显示效果很棒，上了高刷感觉更丝滑
拍照效果：拍照效果：拍照很稳，特别是夜拍成像速度比上代快
运行速度：A15芯片加持，系统流畅
待机时间：待机续航明显提升，想要长续航就得上Max",2021-10-29 09:47:48,5.0,4.0,银色,256GB,2021-09-18 10:14:14,灏***o,41.0
"手机非完美，无瑕疵，远峰蓝比想象中好看，就是
要比同尺寸手机重。高颜值，高品质，材质外观和质量上档次。此次摄像头的更新，拍照效果很好，还支持电影模式的拍摄视频，13香果然香。使用上非常流畅，没有任何毛病，没有边锋大的问题，有也是正常现象，新款手机拍照还是棒棒哒，夜晚拍的也很清楚，对于普通人来说，这也算是福音，不需要再买专业设备。比旧的苹果提升不少，性能更加流畅，容量也大了，相信能用更久。",2022-08-15 18:18:22,5.0,4.0,远峰蓝色,256GB,2022-07-28 13:46:10,请***-,18.0
